pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times
0,7,7,640,616,633,9.6,0,576
0,9,231220,231544,308,324,96.7,231211,295
0,102,260999,265419,4400,4420,99.8,260897,4019
1,32,641,5699,5038,5058,66.8,609,4599
1,18,231545,231825,264,280,99.0,231527,255
1,105,265420,268882,3443,3462,99.0,265315,3148
2,76,5700,8260,2541,2560,98.0,5624,2328
2,53,231826,231866,22,40,98.0,231773,37
2,161,268883,272426,3531,3543,98.0,268722,3221
3,100,8261,12170,3894,3909,97.0,8161,3554
3,64,231867,232030,143,163,97.0,231803,149
3,164,272427,276263,3817,3836,97.0,272263,3488
4,122,12171,15610,3421,3439,96.0,12049,3127
4,84,232031,232505,462,474,96.0,231947,431
4,188,276264,281416,5137,5152,96.0,276076,4684
5,150,15611,18399,2772,2788,95.0,15461,2535
5,111,232506,232734,209,228,95.0,232395,208
5,472,281417,283200,1771,1783,95.0,280945,1621
6,176,18400,18847,429,447,94.0,18224,407
6,221,232735,232832,77,97,94.0,232514,89
6,514,283201,287289,4070,4088,94.0,282687,3717
7,183,18848,19463,594,615,93.0,18665,560
7,299,232833,233180,330,347,93.0,232534,316
7,515,287290,289075,1771,1785,93.0,286775,1623
8,223,19464,22562,3080,3098,92.0,19241,2817
8,308,233181,233564,363,383,92.0,232873,349
8,557,289076,294263,5170,5187,92.0,288519,4716
9,243,22563,24128,1551,1565,91.0,22320,1423
9,358,233565,234025,440,460,91.0,233207,419
9,598,294264,296205,1925,1941,91.0,293666,1765
10,362,24129,24223,77,94,90.0,23767,86
10,414,234026,234055,11,29,90.0,233612,27
10,687,296206,297498,1276,1292,90.0,295519,1175
11,393,24224,28861,4620,4637,89.0,23831,4216
11,428,234056,234588,517,532,89.0,233628,484
11,715,297499,300797,3278,3298,89.0,296784,2999
12,395,28862,32809,3927,3947,88.0,28467,3589
12,475,234589,235050,440,461,88.0,234114,420
12,734,300798,302829,2013,2031,88.0,300064,1847
13,480,32810,34176,1353,1366,87.0,32330,1242
13,499,235051,235592,528,541,87.0,234552,492
13,745,302830,305394,2552,2564,87.0,302085,2331
14,574,34177,34384,187,207,86.0,33603,189
14,699,235593,235977,363,384,86.0,234894,350
14,748,305395,308891,3476,3496,86.0,304647,3179
15,591,34385,36160,1760,1775,85.0,33794,1614
15,729,235978,236343,352,365,85.0,235249,332
15,767,308892,312861,3949,3969,85.0,308125,3609
16,618,36161,36894,715,733,84.0,35543,667
16,880,236344,236745,385,401,84.0,235464,365
16,816,312862,315998,3124,3136,84.0,312046,2851
17,730,36895,40533,3619,3638,83.0,36165,3308
