pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times,process sizes,turnaround times
0,71,71,140080,139987,140009,30.1,0,4261,LARGE,140009
1,181,197,47296,47061,47115,41.3,16,1057,MEDiUM,47115
2,221,239,128130,127857,127909,35.8,18,3293,MEDiUM,127909
3,248,260,144498,144212,144250,27.8,12,4745,LARGE,144250
4,261,281,65276,64954,65015,43.2,20,1400,MEDiUM,65015
5,425,428,127885,127431,127460,36.2,3,3245,MEDiUM,127460
6,446,449,61769,61282,61323,44.0,3,1297,MEDiUM,61323
7,707,722,141025,140262,140318,30.7,15,4200,LARGE,140318
8,717,743,61604,60828,60887,45.1,26,1252,MEDiUM,60887
9,819,827,144282,143433,143463,28.4,8,4621,LARGE,143463
10,820,848,101536,100650,100716,41.8,28,2237,MEDiUM,100716
11,1033,1037,66429,65353,65396,45.6,4,1338,MEDiUM,65396
12,1105,1121,62252,61090,61147,46.1,16,1240,MEDiUM,61147
13,1108,1142,56289,55122,55181,46.1,34,1104,MEDiUM,55181
14,1281,1289,132655,131325,131374,35.3,8,3440,MEDiUM,131374
15,1364,1373,118842,117428,117478,39.0,9,2800,MEDiUM,117478
16,1386,1394,144944,143511,143558,27.6,8,4778,LARGE,143558
17,1548,1562,100315,98722,98767,42.6,14,2150,MEDiUM,98767
18,1575,1583,122163,120557,120588,38.3,8,2902,MEDiUM,120588
19,1717,1730,135076,133316,133359,34.5,13,3569,MEDiUM,133359
20,1756,1772,87380,85582,85624,44.4,16,1785,MEDiUM,85624
21,1818,1835,83531,81672,81713,44.9,17,1683,MEDiUM,81713
22,1947,1961,143923,141921,141976,28.9,14,4520,LARGE,141976
23,2356,2360,129562,127169,127206,36.7,4,3212,MEDiUM,127206
24,2360,2381,133719,131304,131359,35.2,21,3453,MEDiUM,131359
25,2631,2633,145296,142632,142665,26.2,2,4990,LARGE,142665
26,2980,2990,124494,121463,121514,38.2,10,2960,MEDiUM,121514
27,2993,3011,113095,110061,110102,40.7,18,2502,MEDiUM,110102
28,3098,3116,138919,135765,135821,32.5,18,3857,MEDiUM,135821
29,3099,3137,69548,66380,66449,47.3,38,1310,MEDiUM,66449
30,3158,3158,103538,100353,100380,42.6,0,2186,MEDiUM,100380
31,3322,3326,132613,129261,129291,35.7,4,3345,MEDiUM,129291
32,3384,3389,112777,109358,109393,40.8,5,2489,MEDiUM,109393
33,3426,3431,59722,56261,56296,48.3,5,1089,MEDiUM,56296
34,3604,3620,145075,141430,141471,27.3,16,4744,LARGE,141471
35,3614,3641,99233,95559,95619,43.5,27,2052,MEDiUM,95619
36,3616,3662,78674,74980,75058,46.4,46,1511,MEDiUM,75058
37,3637,3683,126199,122492,122562,37.8,46,3003,MEDiUM,122562
38,3651,3704,87502,83761,83851,45.2,53,1736,MEDiUM,83851
39,3693,3725,82057,78295,78364,46.0,32,1596,MEDiUM,78364
40,3694,3746,139889,136119,136195,32.0,52,3923,MEDiUM,136195
41,4034,4040,117519,113445,113485,39.8,6,2653,MEDiUM,113485
42,4127,4145,134730,130562,130603,34.9,18,3462,MEDiUM,130603
43,4155,4166,128982,124784,124827,37.0,11,3131,MEDiUM,124827
44,4299,4313,100447,96108,96148,43.3,14,2065,MEDiUM,96148
45,4357,4376,144610,140207,140253,28.2,19,4566,LARGE,140253
46,4410,4418,107538,103090,103128,42.0,8,2289,MEDiUM,103128
47,4794,4796,135142,130323,130348,34.6,2,3482,MEDiUM,130348
48,4802,4817,80507,75664,75705,46.4,15,1525,MEDiUM,75705
49,4896,4901,105995,101053,101099,42.3,5,2240,MEDiUM,101099
