pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times,process sizes,turnaround times
0,93,93,142294,142174,142201,33.5,0,4046,LARGE,36
1,173,198,141867,141635,141694,34.4,25,3933,MEDiUM,37
2,218,261,74215,73928,73997,43.5,43,1625,MEDiUM,46
3,409,492,112807,112293,112398,42.4,83,2521,MEDiUM,45
4,427,513,121821,121273,121394,40.9,86,2834,MEDiUM,43
5,448,555,112977,112400,112529,42.5,107,2521,MEDiUM,45
6,614,744,134000,133234,133386,38.2,130,3321,MEDiUM,41
7,673,828,149349,148497,148676,31.7,155,4463,LARGE,34
8,679,849,100849,99965,100170,44.5,170,2154,MEDiUM,47
9,683,891,124075,123153,123392,41.0,208,2870,MEDiUM,43
10,739,954,136908,135924,136169,37.4,215,3469,MEDiUM,40
11,747,996,71815,70785,71068,46.8,249,1453,MEDiUM,49
12,900,1164,111052,109852,110152,43.6,264,2415,MEDiUM,46
13,1179,1458,149912,148417,148733,31.4,279,4516,LARGE,33
14,1228,1542,126692,125128,125464,40.8,314,2921,MEDiUM,43
15,1318,1647,105837,104159,104519,44.7,329,2230,MEDiUM,47
16,1440,1794,122027,120196,120587,42.1,354,2736,MEDiUM,45
17,1555,1920,69787,67832,68232,48.2,365,1354,MEDiUM,51
18,1697,2088,56077,53949,54380,48.5,391,1079,MEDiUM,51
19,1707,2109,117807,115657,116100,43.0,402,2580,MEDiUM,45
20,1813,2235,138829,136571,137016,37.1,422,3502,MEDiUM,40
21,1907,2361,150950,148559,149043,30.0,454,4729,LARGE,32
22,1920,2382,88482,86072,86562,47.1,462,1747,MEDiUM,50
23,1968,2466,143713,141215,141745,35.2,498,3831,MEDiUM,37
24,2107,2613,150100,147447,147993,31.3,506,4499,LARGE,33
25,2315,2844,150877,147994,148562,30.1,529,4698,LARGE,32
26,2349,2907,147245,144302,144896,33.3,558,4135,LARGE,36
27,2356,2928,124338,121379,121982,41.8,572,2770,MEDiUM,45
28,2416,3012,127242,124206,124826,41.0,596,2883,MEDiUM,44
29,2632,3243,93665,90392,91033,46.8,611,1849,MEDiUM,50
30,2791,3432,70478,67007,67687,49.1,641,1318,MEDiUM,52
31,2829,3495,149279,145746,146450,32.1,666,4337,LARGE,34
32,2924,3600,136957,133330,134033,38.0,676,3346,MEDiUM,41
33,2992,3705,149345,145617,146353,32.1,713,4322,LARGE,34
34,3277,3999,142546,138506,139269,35.8,722,3700,MEDiUM,38
35,3292,4041,110280,106207,106988,44.7,749,2271,MEDiUM,48
36,3338,4104,61435,57308,58097,49.6,766,1102,MEDiUM,53
37,3460,4251,112511,108230,109051,44.4,791,2329,MEDiUM,47
38,3985,4797,150606,145787,146621,30.6,812,4541,LARGE,33
39,4172,5007,121491,116455,117319,42.6,835,2608,MEDiUM,45
40,4341,5196,151300,146070,146959,27.9,855,4993,LARGE,30
41,4532,5406,88531,83098,83999,47.6,874,1666,MEDiUM,51
42,4552,5448,99847,94361,95295,46.3,896,1957,MEDiUM,49
43,4669,5574,59101,53486,54432,49.9,905,1040,MEDiUM,53
44,4700,5637,146053,140387,141353,33.9,937,3948,MEDiUM,36
45,4770,5721,82762,77004,77992,48.2,951,1536,MEDiUM,51
46,4789,5763,76613,70826,71824,48.8,974,1383,MEDiUM,52
47,4804,5805,98506,92670,93702,46.4,1001,1910,MEDiUM,50
48,4927,5952,130075,124084,125148,40.2,1025,2958,MEDiUM,43
49,4955,5994,131772,125741,126817,39.6,1039,3036,MEDiUM,42
