pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times,process sizes,turnaround times
0,265,265,225085,224793,224820,21.7,0,4275,LARGE,53
1,286,286,206886,206576,206600,24.1,0,3018,MEDiUM,69
2,289,306,225583,225263,225294,21.7,17,4336,LARGE,52
3,497,502,200134,199622,199637,24.6,5,2779,MEDiUM,72
4,509,511,207940,207421,207431,24.0,2,3060,MEDiUM,68
5,677,681,190533,189844,189856,25.1,4,2509,MEDiUM,76
6,726,730,138996,138256,138270,28.1,4,1544,MEDiUM,90
7,822,828,218959,218120,218137,22.6,6,3676,MEDiUM,60
8,1120,1123,194921,193788,193801,25.6,3,2621,MEDiUM,74
9,1147,1147,139851,138695,138704,29.1,0,1556,MEDiUM,90
10,1264,1266,226728,225445,225464,22.0,2,4562,LARGE,50
11,1337,1338,109886,108541,108549,31.0,1,1080,MEDiUM,101
12,1362,1362,222515,221139,221153,22.7,0,4000,MEDiUM,56
13,1497,1500,212089,210578,210592,24.1,3,3256,MEDiUM,65
14,1566,1566,202238,200662,200672,25.1,0,2853,MEDiUM,71
15,1700,1704,194816,193103,193116,25.7,4,2616,MEDiUM,74
16,1794,1794,128740,126939,126946,29.9,0,1374,MEDiUM,93
17,1957,1957,227461,225490,225504,21.9,0,4918,LARGE,46
18,1991,1992,226215,224207,224224,22.3,1,4446,LARGE,51
19,2035,2041,147001,144952,144966,28.8,6,1683,MEDiUM,87
20,2090,2090,213653,211556,211563,24.1,0,3335,MEDiUM,64
21,2096,2096,227511,225400,225415,21.9,0,4964,LARGE,46
22,2443,2445,226773,224316,224330,22.3,2,4563,LARGE,50
23,2485,2487,217969,215473,215484,23.7,2,3594,MEDiUM,60
24,2536,2536,180519,177976,177983,26.8,0,2311,MEDiUM,78
25,2548,2548,64213,61656,61665,39.3,0,410,SMALL,151
26,2608,2610,28375,25756,25767,44.3,2,158,SMALL,164
27,2650,2652,6531,3871,3881,37.1,2,33,TINY,118
28,2887,2890,21728,18830,18841,43.9,3,120,SMALL,158
29,2942,2944,60778,57826,57836,40.2,2,377,SMALL,154
30,3053,3055,46084,43020,43031,42.7,2,270,SMALL,160
31,3138,3139,34925,31777,31787,43.7,1,198,SMALL,161
32,3145,3146,28454,25301,25309,44.3,1,157,SMALL,162
33,3291,3291,52857,49557,49566,41.8,0,317,SMALL,157
34,3326,3331,65395,62055,62069,39.4,5,421,SMALL,148
35,3390,3395,60562,57157,57172,40.6,5,376,SMALL,153
36,3485,3489,69440,65941,65955,38.3,4,475,SMALL,139
37,3719,3725,11932,8197,8213,46.6,6,67,SMALL,123
38,3719,3733,46786,43044,43067,43.2,14,274,SMALL,158
39,3780,3781,66962,63172,63182,39.2,1,438,SMALL,145
40,3854,3861,17649,13780,13795,46.5,7,97,SMALL,143
41,3984,3990,44260,40261,40276,43.8,6,257,SMALL,157
42,4069,4074,31693,27610,27624,45.8,5,177,SMALL,157
43,4226,4226,19544,15309,15318,47.7,0,107,SMALL,144
44,4342,4344,22271,17919,17929,47.3,2,122,SMALL,147
45,4454,4456,59392,54927,54938,41.3,2,365,SMALL,151
46,4614,4619,64080,59452,59466,40.4,5,408,SMALL,146
47,4657,4659,62961,58293,58304,40.8,2,397,SMALL,147
48,4670,4675,26063,21379,21393,47.8,5,144,SMALL,149
49,4842,4845,46715,41861,41873,43.9,3,273,SMALL,154
