instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times
0,0,24,11,24,27.7,0
1,27073,27129,44,56,41.8,27072
2,40385,40861,462,476,48.9,40383
0,51854,52076,209,222,47.7,51854
0,65141,65354,198,213,47.5,65141
0,25,361,319,336,49.0,25
1,27130,27242,99,112,49.0,27129
2,40862,41002,121,140,49.0,40860
0,52077,52371,275,294,49.0,52077
0,65355,65429,55,74,49.0,65355
1,362,1223,847,861,48.0,361
1,27243,27537,275,294,48.0,27242
2,41003,41105,88,102,48.0,41001
0,52372,52522,132,150,48.0,52372
1,65430,65798,352,368,48.0,65429
1,1224,1447,209,223,47.0,1223
2,27538,27917,363,379,47.0,27536
3,41106,41204,77,98,47.0,41103
0,52523,52555,11,32,47.0,52523
1,65799,65979,165,180,47.0,65798
2,1448,1589,121,141,46.0,1446
2,27918,28330,396,412,46.0,27916
3,41205,41409,187,204,46.0,41202
1,52556,53006,429,450,46.0,52555
1,65980,66324,330,344,46.0,65979
2,1590,2328,726,738,45.0,1588
3,28331,28637,286,306,45.0,28328
6,41410,41884,462,474,45.0,41404
1,53007,53415,396,408,45.0,53006
1,66325,66598,253,273,45.0,66324
2,2329,2353,11,24,44.0,2327
3,28638,28904,253,266,44.0,28635
6,41885,41937,33,52,44.0,41879
1,53416,53740,308,324,44.0,53415
1,66599,66771,154,172,44.0,66598
2,2354,2654,286,300,43.0,2352
5,28905,29418,495,513,43.0,28900
6,41938,42002,44,64,43.0,41932
1,53741,54162,407,421,43.0,53740
1,66772,67000,209,228,43.0,66771
3,2655,3675,1001,1020,42.0,2652
5,29419,29587,154,168,42.0,29414
7,42003,42130,110,127,42.0,41996
1,54163,54588,407,425,42.0,54162
1,67001,67446,429,445,42.0,67000
3,3676,4516,825,840,41.0,3673
5,29588,29769,165,181,41.0,29583
7,42131,42184,33,53,41.0,42124
2,54589,54681,77,92,41.0,54587
2,67447,67864,396,417,41.0,67445
3,4517,4997,462,480,40.0,4514
5,29770,29856,66,86,40.0,29765
7,42185,42349,143,164,40.0,42178
3,54682,55024,330,342,40.0,54679
2,67865,67912,33,47,40.0,67863
4,4998,5606,594,608,39.0,4994
6,29857,30001,132,144,39.0,29851
8,42350,42693,330,343,39.0,42342
3,55025,55108,66,83,39.0,55022
2,67913,67936,11,23,39.0,67911
4,5607,5843,220,236,38.0,5603
6,30002,30168,154,166,38.0,29996
9,42694,42990,275,296,38.0,42685
3,55109,55315,187,206,38.0,55106
3,67937,68020,66,83,38.0,67934
4,5844,6060,198,216,37.0,5840
6,30169,30702,517,533,37.0,30163
9,42991,43509,506,518,37.0,42982
3,55316,55809,473,493,37.0,55313
4,68021,68556,517,535,37.0,68017
5,6061,6090,11,29,36.0,6056
6,30703,31035,319,332,36.0,30697
9,43510,43660,132,150,36.0,43501
4,55810,56262,440,452,36.0,55806
5,68557,68803,231,246,36.0,68552
5,6091,6156,44,65,35.0,6086
6,31036,31479,429,443,35.0,31030
10,43661,44065,385,404,35.0,43651
5,56263,56422,143,159,35.0,56258
5,68804,69226,407,422,35.0,68799
6,6157,6976,803,819,34.0,6151
7,31480,31883,385,403,34.0,31473
10,44066,44310,231,244,34.0,44056
6,56423,56734,297,311,34.0,56417
5,69227,69279,33,52,34.0,69222
6,6977,8046,1056,1069,33.0,6971
7,31884,32279,374,395,33.0,31877
10,44311,44459,132,148,33.0,44301
6,56735,57245,495,510,33.0,56729
5,69280,69439,143,159,33.0,69275
6,8047,8160,99,113,32.0,8041
7,32280,32692,396,412,32.0,32273
10,44460,44571,99,111,32.0,44450
6,57246,57559,297,313,32.0,57240
5,69440,69911,451,471,32.0,69435
6,8161,8478,297,317,31.0,8155
8,32693,32927,220,234,31.0,32685
10,44572,44910,319,338,31.0,44562
7,57560,57721,143,161,31.0,57553
6,69912,70144,220,232,31.0,69906
6,8479,9060,561,581,30.0,8473
8,32928,33343,396,415,30.0,32920
11,44911,44968,44,57,30.0,44900
7,57722,58271,528,549,30.0,57715
7,70145,70371,209,226,30.0,70138
6,9061,9972,891,911,29.0,9055
9,33344,33615,253,271,29.0,33335
11,44969,45450,462,481,29.0,44958
7,58272,58703,418,431,29.0,58265
7,70372,70858,473,486,29.0,70365
6,9973,10851,858,878,28.0,9967
9,33616,34052,418,436,28.0,33607
11,45451,45771,308,320,28.0,45440
7,58704,59128,407,424,28.0,58697
7,70859,70918,44,59,28.0,70852
7,10852,11615,748,763,27.0,10845
10,34053,34451,385,398,27.0,34043
11,45772,46075,286,303,27.0,45761
7,59129,59270,121,141,27.0,59122
7,70919,71461,528,542,27.0,70912
7,11616,12455,825,839,26.0,11609
11,34452,34784,319,332,26.0,34441
12,46076,46359,264,283,26.0,46064
7,59271,59297,11,26,26.0,59264
8,71462,71685,209,223,26.0,71454
8,12456,12603,132,147,25.0,12448
11,34785,34855,55,70,25.0,34774
12,46360,46406,33,46,25.0,46348
9,59298,59718,407,420,25.0,59289
8,71686,71855,154,169,25.0,71678
8,12604,13315,693,711,24.0,12596
11,34856,35060,187,204,24.0,34845
12,46407,46445,22,38,24.0,46395
10,59719,59852,121,133,24.0,59709
9,71856,72057,187,201,24.0,71847
9,13316,13649,319,333,23.0,13307
11,35061,35549,473,488,23.0,35050
12,46446,46662,198,216,23.0,46434
10,59853,59883,11,30,23.0,59843
10,72058,72506,429,448,23.0,72048
9,13650,14447,781,797,22.0,13641
11,35550,35997,429,447,22.0,35539
13,46663,46800,121,137,22.0,46650
10,59884,60370,473,486,22.0,59874
11,72507,72730,209,223,22.0,72496
9,14448,15225,759,777,21.0,14439
12,35998,36072,55,74,21.0,35986
13,46801,46949,132,148,21.0,46788
11,60371,60702,319,331,21.0,60360
11,72731,73024,275,293,21.0,72720
10,15226,16220,979,994,20.0,15216
13,36073,36255,165,182,20.0,36060
14,46950,47418,451,468,20.0,46936
11,60703,60979,264,276,20.0,60692
12,73025,73326,286,301,20.0,73013
10,16221,17093,858,872,19.0,16211
13,36256,36347,77,91,19.0,36243
15,47419,47657,220,238,19.0,47404
11,60980,61471,473,491,19.0,60969
