pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times,process sizes,turnaround times,throughput,average response time,average queue length
69,8095,8099,19978,11878,11883,91.0,4,31,TINY,384,1,5.88,70
60,7561,7563,41345,33781,33784,93.7,2,77,SMALL,439,,,
28,3531,3535,51518,47981,47987,81.8,4,100,SMALL,480,,,
78,8725,8735,80611,71874,71886,97.1,10,161,SMALL,447,,,
75,8520,8540,101682,93140,93162,96.1,20,205,SMALL,455,,,
97,9876,9884,135034,125149,125158,97.3,8,274,SMALL,457,,,
5,742,743,160526,159782,159784,88.0,1,329,SMALL,486,,,
87,9562,9565,183638,174072,174076,96.1,3,378,SMALL,461,,,
21,3151,3153,227131,223976,223980,91.0,2,474,SMALL,473,,,
11,1487,1493,254343,252849,252856,87.0,6,533,MEDiUM,475,,,
92,9724,9732,274925,265192,265201,94.6,8,578,MEDiUM,459,,,
47,6055,6064,277198,271132,271143,92.0,9,584,MEDiUM,465,,,
93,9730,9742,282870,273127,273140,94.4,12,596,MEDiUM,459,,,
6,769,775,302633,301856,301864,88.8,6,643,MEDiUM,470,,,
33,4275,4283,306595,302311,302320,91.0,8,651,MEDiUM,465,,,
71,8247,8249,306977,298727,298730,93.1,2,652,MEDiUM,459,,,
1,397,404,324010,323604,323613,88.0,7,694,MEDiUM,467,,,
98,9894,9904,335562,325657,325668,92.9,10,720,MEDiUM,453,,,
50,6349,6352,365524,359171,359175,90.5,3,793,MEDiUM,453,,,
8,1220,1226,387836,386609,386616,86.9,6,849,MEDiUM,456,,,
88,9562,9574,394129,384553,384567,90.9,12,865,MEDiUM,445,,,
96,9852,9855,397311,387455,387459,90.9,3,872,MEDiUM,445,,,
36,5059,5067,417134,412065,412075,88.6,8,924,MEDiUM,446,,,
31,4120,4126,417857,413729,413737,86.9,6,926,MEDiUM,447,,,
68,8035,8040,421929,413888,413894,89.5,5,935,MEDiUM,443,,,
19,3082,3088,435811,432722,432729,86.6,6,973,MEDiUM,445,,,
57,7260,7269,442763,435493,435503,88.4,9,991,MEDiUM,440,,,
24,3350,3354,497985,494630,494635,85.2,4,1143,LARGE,433,,,
52,6574,6581,515457,508875,508883,85.5,7,1191,LARGE,428,,,
55,6862,6868,554539,547670,547677,84.0,6,1301,LARGE,421,,,
79,8796,8805,583452,574645,574656,84.1,9,1385,LARGE,415,,,
77,8707,8715,587554,578838,578847,83.9,8,1396,LARGE,415,,,
62,7656,7667,596256,588588,588600,83.4,11,1421,LARGE,415,,,
13,1775,1780,599929,598147,598154,80.7,5,1434,LARGE,418,,,
49,6153,6155,611422,605265,605269,82.5,2,1468,LARGE,413,,,
29,3557,3558,615375,611816,611818,81.7,1,1481,LARGE,414,,,
43,5781,5786,655230,649442,649449,80.5,5,1620,LARGE,401,,,
7,932,939,674061,673120,673129,78.6,7,1687,LARGE,400,,,
32,4253,4259,685565,681305,681312,79.2,6,1727,LARGE,395,,,
44,5855,5858,686188,680329,680333,79.6,3,1729,LARGE,394,,,
80,9023,9027,688567,679538,679544,80.1,4,1739,LARGE,391,,,
16,2400,2403,699874,697469,697474,77.3,3,1782,LARGE,392,,,
59,7364,7368,705897,698528,698533,79.0,4,1804,LARGE,388,,,
72,8320,8322,712586,704263,704266,78.9,2,1830,LARGE,385,,,
45,5866,5867,718997,713128,713131,78.1,1,1856,LARGE,385,,,
0,227,228,742040,741810,741813,74.7,1,1950,LARGE,381,,,
3,687,691,755659,754967,754972,75.2,4,2005,LARGE,377,,,
17,2700,2704,758091,755386,755391,74.8,4,2015,LARGE,375,,,
38,5213,5220,765195,759973,759982,75.8,7,2046,LARGE,372,,,
41,5505,5509,773036,767526,767531,75.4,4,2079,LARGE,370,,,
66,7973,7983,777637,769653,769664,75.6,10,2099,LARGE,367,,,
94,9758,9761,784121,774358,774363,75.6,3,2139,LARGE,363,,,
20,3135,3137,799575,796435,796440,73.6,2,2237,LARGE,357,,,
54,6836,6841,807257,800415,800421,73.7,5,2283,LARGE,351,,,
91,9704,9714,820799,811084,811095,73.7,10,2372,LARGE,342,,,
15,2282,2284,831672,829386,829390,71.1,2,2446,LARGE,340,,,
56,7253,7260,849005,841743,841752,71.8,7,2563,LARGE,329,,,
99,9982,9990,854798,844806,844816,71.9,8,2604,LARGE,325,,,
61,7651,7658,871832,864171,864181,70.6,7,2726,LARGE,318,,,
4,702,707,872685,871976,871983,69.2,5,2733,LARGE,320,,,
63,7743,7748,873488,865738,865745,70.5,5,2739,LARGE,317,,,
64,7757,7764,879702,871935,871945,70.1,7,2786,LARGE,313,,,
37,5142,5148,887986,882835,882844,69.2,6,2852,LARGE,310,,,
85,9428,9435,888100,878662,878672,69.7,7,2854,LARGE,308,,,
51,6536,6541,898473,891930,891937,68.5,5,2938,LARGE,304,,,
82,9060,9067,905587,896517,896527,68.5,7,3001,LARGE,299,,,
76,8651,8658,912679,904020,904028,67.9,7,3062,LARGE,296,,,
90,9674,9684,916998,907313,907324,67.7,10,3113,LARGE,292,,,
9,1285,1289,920860,919570,919575,65.6,4,3162,LARGE,291,,,
73,8511,8520,926373,917851,917862,66.9,9,3234,LARGE,284,,,
46,5990,5992,927187,921192,921197,66.4,2,3244,LARGE,284,,,
95,9758,9771,927312,917537,917554,66.9,13,3248,LARGE,283,,,
74,8520,8530,928115,919583,919595,66.7,10,3258,LARGE,283,,,
67,8008,8013,934558,926543,926550,65.9,5,3352,LARGE,277,,,
39,5275,5283,937602,932316,932327,65.1,8,3400,LARGE,275,,,
14,1784,1787,938517,936726,936733,64.1,3,3417,LARGE,275,,,
89,9587,9594,938721,929124,929134,65.6,7,3419,LARGE,272,,,
27,3517,3521,956749,953227,953232,62.8,4,3773,LARGE,253,,,
34,4859,4867,957283,952411,952424,63.1,8,3787,LARGE,252,,,
10,1310,1317,965504,964184,964194,61.1,7,3964,LARGE,244,,,
86,9448,9455,965904,956446,956456,62.6,7,3973,LARGE,241,,,
83,9072,9077,968640,959557,959568,62.3,5,4047,LARGE,238,,,
18,2831,2832,970180,967345,967349,60.6,1,4088,LARGE,237,,,
35,4937,4939,975477,970533,970540,60.7,2,4258,LARGE,228,,,
53,6790,6796,975512,968715,968722,60.9,6,4254,LARGE,228,,,
26,3446,3449,979766,976312,976320,59.9,3,4424,LARGE,221,,,
12,1746,1752,981165,979405,979419,58.9,6,4488,LARGE,219,,,
40,5414,5420,981225,975798,975811,59.9,6,4490,LARGE,218,,,
84,9388,9395,982301,972897,972913,60.1,7,4547,LARGE,214,,,
70,8229,8239,984101,975852,975872,59.8,10,4656,LARGE,210,,,
65,7760,7774,984843,977063,977083,59.6,14,4700,LARGE,208,,,
30,3992,3998,985054,981052,981062,59.0,6,4716,LARGE,209,,,
81,9046,9047,985649,976595,976603,59.5,1,4779,LARGE,205,,,
58,7331,7332,986155,978817,978824,59.2,1,4827,LARGE,203,,,
23,3304,3312,986703,983378,983399,58.5,8,4911,LARGE,201,,,
25,3436,3441,986920,983478,983484,58.5,5,4936,LARGE,200,,,
48,6127,6128,986946,980816,980819,58.8,1,4941,LARGE,199,,,
42,5674,5678,986993,981313,981319,58.7,4,4961,LARGE,198,,,
2,470,481,987043,986555,986573,56.8,11,4998,LARGE,198,,,
22,3237,3240,987048,983804,983811,58.3,3,4996,LARGE,197,,,
