pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times
0,7,7,640,616,633,9.6,0,576
1,32,641,5699,5038,5058,66.8,609,4599
2,76,5700,8260,2541,2560,98.0,5624,2328
3,100,8261,12170,3894,3909,97.0,8161,3554
4,122,12171,15610,3421,3439,96.0,12049,3127
5,150,15611,18399,2772,2788,95.0,15461,2535
6,176,18400,18847,429,447,94.0,18224,407
7,183,18848,19463,594,615,93.0,18665,560
8,223,19464,22562,3080,3098,92.0,19241,2817
9,243,22563,24128,1551,1565,91.0,22320,1423
10,362,24129,24223,77,94,90.0,23767,86
11,393,24224,28861,4620,4637,89.0,23831,4216
12,395,28862,32809,3927,3947,88.0,28467,3589
13,480,32810,34176,1353,1366,87.0,32330,1242
14,574,34177,34384,187,207,86.0,33603,189
15,591,34385,36160,1760,1775,85.0,33794,1614
16,618,36161,36894,715,733,84.0,35543,667
17,730,36895,40533,3619,3638,83.0,36165,3308
18,757,40534,42279,1727,1745,82.0,39777,1587
19,819,42280,43290,990,1010,81.0,41461,919
20,824,43291,46362,3058,3071,80.0,42467,2792
21,848,46363,47673,1298,1310,79.0,45515,1191
22,942,47674,48993,1298,1319,78.0,46732,1200
23,943,48994,49147,132,153,77.0,48051,140
24,952,49148,52692,3531,3544,76.0,48196,3222
25,959,52693,54679,1969,1986,75.0,51734,1806
26,1096,54680,55128,429,448,74.0,53584,408
27,1127,55129,55267,121,138,73.0,54002,126
28,1153,55268,56608,1320,1340,72.0,54115,1219
29,1165,56609,59140,2519,2531,71.0,55444,2301
30,1192,59141,62021,2860,2880,70.0,57949,2619
31,1215,62022,64722,2684,2700,69.0,60807,2455
32,1238,64723,66859,2123,2136,68.0,63485,1942
33,1241,66860,69471,2596,2611,67.0,65619,2374
34,1419,69472,71372,1881,1900,66.0,68053,1728
35,1424,71373,73466,2079,2093,65.0,69949,1903
36,1426,73467,78282,4796,4815,64.0,72041,4378
37,1483,78283,79610,1309,1327,63.0,76800,1207
38,1599,79611,79995,363,384,62.0,78012,350
39,1602,79996,82762,2750,2766,61.0,78394,2515
40,1659,82763,86102,3322,3339,60.0,81104,3036
41,1770,86103,87601,1485,1498,59.0,84333,1362
42,1881,87602,88663,1045,1061,58.0,85721,965
43,1887,88664,89023,341,359,57.0,86777,327
44,1918,89024,94477,5434,5453,56.0,87106,4958
45,1935,94478,96972,2475,2494,55.0,92543,2268
46,2073,96973,102007,5016,5034,54.0,94900,4577
47,2080,102008,103524,1496,1516,53.0,99928,1379
48,2091,103525,105918,2376,2393,52.0,101434,2176
49,2135,105919,107628,1694,1709,51.0,103784,1554
50,2201,107629,109737,2090,2108,50.0,105428,1917
51,2368,109738,114453,4697,4715,49.0,107370,4287
52,2456,114454,119566,5093,5112,48.0,111998,4648
53,2534,119567,120629,1045,1062,47.0,117033,966
54,2551,120630,125003,4356,4373,46.0,118079,3976
55,2575,125004,129960,4939,4956,45.0,122429,4506
56,2583,129961,135160,5181,5199,44.0,127378,4727
57,2603,135161,137146,1969,1985,43.0,132558,1805
58,2643,137147,137899,737,752,42.0,134504,684
59,2648,137900,138745,825,845,41.0,135252,769
60,2659,138746,139755,990,1009,40.0,136087,918
61,2696,139756,144814,5038,5058,39.0,137060,4599
62,2709,144815,145647,814,832,38.0,142106,757
63,2721,145648,146389,726,741,37.0,142927,674
64,2803,146390,148806,2398,2416,36.0,143587,2197
65,2878,148807,150738,1914,1931,35.0,145929,1756
66,2904,150739,153739,2981,3000,34.0,147835,2728
67,2908,153740,157148,3388,3408,33.0,150832,3099
68,3071,157149,157384,220,235,32.0,154078,214
69,3076,157385,159582,2178,2197,31.0,154309,1998
70,3126,159583,163899,4301,4316,30.0,156457,3924
71,3227,163900,167140,3223,3240,29.0,160673,2946
72,3322,167141,172521,5368,5380,28.0,163819,4891
73,3371,172522,173615,1078,1093,27.0,169151,994
74,3447,173616,175604,1969,1988,26.0,170169,1808
75,3505,175605,178339,2717,2734,25.0,172100,2486
76,3535,178340,183223,4862,4883,24.0,174805,4440
77,3540,183224,188630,5390,5406,23.0,179684,4915
78,3552,188631,191297,2651,2666,22.0,185079,2424
79,3580,191298,192757,1441,1459,21.0,187718,1327
80,3701,192758,193702,924,944,20.0,189057,859
81,3702,193703,195146,1430,1443,19.0,190001,1312
82,3720,195147,196624,1463,1477,18.0,191427,1343
83,3726,196625,201150,4510,4525,17.0,192899,4114
84,3766,201151,203355,2189,2204,16.0,197385,2004
85,3827,203356,208187,4818,4831,15.0,199529,4392
86,3844,208188,208274,66,86,14.0,204344,79
87,3908,208275,210523,2233,2248,13.0,204367,2044
88,3930,210524,214969,4433,4445,12.0,206594,4041
89,4056,214970,215656,671,686,11.0,210914,624
90,4101,215657,215925,253,268,10.0,211556,244
91,4115,215926,216961,1023,1035,9.0,211811,941
92,4144,216962,219946,2970,2984,8.0,212818,2713
93,4206,219947,220930,968,983,7.0,215741,894
94,4224,220931,225169,4224,4238,6.0,216707,3853
95,4292,225170,226559,1375,1389,5.0,220878,1263
96,4476,226560,228256,1683,1696,4.0,222084,1542
97,4790,228257,228773,495,516,3.0,223467,470
98,4814,228774,230280,1485,1506,2.0,223960,1370
99,4967,230281,231219,924,938,1.0,225314,853
