pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times,process sizes,turnaround times,throughput,average response time
21,1430,2244,26507,24251,25077,70.5,814,112,SMALL,224,0.3719668033258933,3813.0
52,4897,8472,31352,22866,26455,96.8,3575,74,SMALL,358,,
50,4682,8050,37664,29603,32982,96.2,3368,91,SMALL,363,,
3,284,367,58304,57929,58020,55.1,83,328,SMALL,177,,
77,6731,13587,62393,48789,55662,97.0,6856,157,SMALL,355,,
8,663,883,81793,80891,81130,73.5,220,339,SMALL,240,,
14,1106,1573,86351,84777,85245,81.2,467,301,SMALL,284,,
25,1837,2834,107066,104221,105229,87.7,997,351,SMALL,300,,
37,3036,4876,152497,147617,149461,91.7,1840,464,SMALL,323,,
94,9141,17791,164588,146785,155447,93.2,8650,472,SMALL,330,,
18,1365,2024,164788,162763,163423,87.6,659,541,MEDiUM,303,,
57,5353,9661,171173,161498,165820,93.0,4308,514,MEDiUM,323,,
46,4245,7118,214206,207086,209961,91.3,2873,662,MEDiUM,318,,
95,9162,17913,238095,220166,228933,90.9,8751,736,MEDiUM,312,,
28,1960,3200,244001,240784,242041,88.6,1240,817,MEDiUM,297,,
74,6409,12937,294534,281591,288125,89.5,6528,946,MEDiUM,305,,
43,3923,6349,304750,298392,300827,88.9,2426,1009,LARGE,299,,
29,2718,3962,305809,301843,303091,88.0,1244,1024,LARGE,296,,
9,771,1026,319467,318424,318696,83.9,255,1157,LARGE,276,,
70,6236,12236,329780,317541,323544,88.4,6000,1083,LARGE,299,,
56,4981,9062,338204,329137,333223,88.1,4081,1125,LARGE,297,,
96,9363,18248,342469,324217,333106,87.8,8885,1124,LARGE,297,,
60,5588,10235,352386,342135,346798,87.6,4647,1196,LARGE,290,,
32,2870,4294,354281,349981,351411,86.6,1424,1226,LARGE,287,,
1,222,248,372164,371911,371942,77.8,26,1465,LARGE,254,,
34,2968,4613,378095,373468,375127,85.8,1645,1334,LARGE,282,,
63,5759,10743,383557,372805,377798,86.2,4984,1329,LARGE,285,,
30,2722,4028,389212,385173,386490,85.1,1306,1391,LARGE,278,,
22,1668,2539,392697,390151,391029,84.0,871,1427,LARGE,275,,
98,9825,18918,395779,376860,385954,85.3,9093,1361,LARGE,284,,
88,7964,16136,397979,381828,390015,85.3,8172,1395,LARGE,280,,
71,6318,12500,408052,395545,401734,84.7,6182,1447,LARGE,278,,
73,6386,12744,411864,399104,405478,84.4,6358,1476,LARGE,275,,
53,4900,8586,413759,405169,408859,84.3,3686,1484,LARGE,276,,
27,1907,3021,413818,410793,411911,83.2,1114,1524,LARGE,271,,
81,7142,14501,415742,401226,408600,84.1,7359,1495,LARGE,274,,
65,5948,11129,421530,410391,415582,83.7,5181,1530,LARGE,272,,
38,3073,4999,430594,425580,427521,82.6,1926,1615,LARGE,265,,
4,369,464,437577,437099,437208,77.0,95,1794,LARGE,244,,
72,6347,12622,441411,428781,435064,82.0,6275,1648,LARGE,264,,
67,6005,11657,444218,432560,438213,81.8,5652,1661,LARGE,264,,
91,8375,16857,445675,428812,437300,81.5,8482,1666,LARGE,263,,
