pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times,process sizes,turnaround times,throughput,average response time,average queue length
0,0,2,18,0,18,1.0,2,16,TINY,2,0.9093755828801814,10896.197,665
26,3,569,579,0,576,999.0,566,10,TINY,58,,,
40,4,866,876,0,872,998.0,862,10,TINY,88,,,
41,4,877,897,0,893,997.0,873,20,TINY,45,,,
54,5,1162,1181,0,1176,996.0,1157,19,TINY,62,,,
62,6,1336,1354,0,1348,995.0,1330,18,TINY,75,,,
78,7,1685,1699,0,1692,994.0,1678,14,TINY,121,,,
106,10,2294,2309,0,2299,993.0,2284,15,TINY,154,,,
202,21,4422,4441,0,4420,992.0,4401,19,TINY,233,,,
268,27,5872,5885,0,5858,991.0,5845,13,TINY,451,,,
339,35,7426,7446,0,7411,990.0,7391,20,TINY,371,,,
399,40,8745,8761,0,8721,989.0,8705,16,TINY,546,,,
434,42,9532,9552,0,9510,988.0,9490,20,TINY,476,,,
472,45,10367,10385,0,10340,987.0,10322,18,TINY,575,,,
480,45,10540,10552,0,10507,986.0,10495,12,TINY,876,,,
484,46,10619,10629,0,10583,985.0,10573,10,TINY,1059,,,
531,51,11642,11655,0,11604,984.0,11591,13,TINY,893,,,
583,56,12778,12797,0,12741,983.0,12722,19,TINY,671,,,
607,59,13304,13324,0,13265,982.0,13245,20,TINY,664,,,
670,65,14711,14731,0,14666,981.0,14646,20,TINY,734,,,
685,67,15040,15052,0,14985,980.0,14973,12,TINY,1249,,,
715,71,15691,15701,0,15630,979.0,15620,10,TINY,1563,,,
734,73,16098,16110,0,16037,978.0,16025,12,TINY,1337,,,
746,75,16353,16372,0,16297,977.0,16278,19,TINY,858,,,
773,78,16945,16964,0,16886,976.0,16867,19,TINY,889,,,
798,81,17493,17512,0,17431,975.0,17412,19,TINY,918,,,
814,82,17843,17853,0,17771,974.0,17761,10,TINY,1778,,,
832,84,18228,18239,0,18155,973.0,18144,11,TINY,1651,,,
839,85,18394,18414,0,18329,972.0,18309,20,TINY,917,,,
864,88,18943,18963,0,18875,971.0,18855,20,TINY,944,,,
874,88,19162,19180,0,19092,970.0,19074,18,TINY,1061,,,
895,90,19621,19634,0,19544,969.0,19531,13,TINY,1504,,,
935,94,20493,20513,0,20419,968.0,20399,20,TINY,1021,,,
17,2,371,22188,22381,22186,983.0,369,22,TINY,1009,,,
48,4,1030,22797,22319,22793,981.0,1026,34,TINY,671,,,
116,11,2508,24203,22242,24192,978.5,2497,39,TINY,621,,,
125,12,2706,24382,22240,24370,978.0,2694,22,TINY,1108,,,
145,14,3146,24804,22221,24790,977.5,3132,23,TINY,1078,,,
147,15,3190,24834,22203,24819,977.0,3175,27,TINY,920,,,
164,16,3564,25191,22189,25175,976.5,3548,24,TINY,1049,,,
200,20,4378,26002,22172,25982,976.0,4358,38,TINY,684,,,
278,29,6084,27673,22135,27644,974.5,6055,40,TINY,692,,,
307,32,6722,28308,22134,28276,974.0,6690,38,TINY,745,,,
311,32,6810,28383,22131,28351,973.5,6778,28,TINY,1013,,,
316,33,6920,28477,22118,28444,973.0,6887,25,TINY,1138,,,
363,37,7953,29475,22081,29438,972.0,7916,27,TINY,1091,,,
367,38,8041,29547,22067,29509,971.5,8003,25,TINY,1181,,,
411,40,9004,30480,22034,30440,970.5,8964,28,TINY,1088,,,
423,41,9290,30753,22021,30712,970.0,9249,28,TINY,1097,,,
477,45,10474,31886,21968,31841,968.5,10429,30,TINY,1062,,,
482,46,10575,31963,21944,31917,967.5,10529,30,TINY,1064,,,
499,47,10938,32312,21922,32265,966.5,10891,38,TINY,850,,,
620,60,13589,34906,21864,34846,964.5,13529,39,TINY,894,,,
627,61,13743,35047,21862,34986,964.0,13682,28,TINY,1250,,,
636,62,13941,35237,21849,35175,963.5,13879,33,TINY,1066,,,
661,64,14513,35805,21841,35741,963.0,14449,37,TINY,966,,,
684,67,15018,36278,21816,36211,962.0,14951,30,TINY,1208,,,
776,79,17009,38187,21728,38108,959.0,16930,36,TINY,1059,,,
790,80,17317,38481,21723,38401,958.5,17237,27,TINY,1423,,,
815,82,17854,38983,21678,38901,957.0,17772,37,TINY,1052,,,
