pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times,process sizes,turnaround times,throughput,average response time,average queue length
0,231,233,297,104,66,1.5,2,61,SMALL,2,0.23814885609278622,351769.772,131
1,283,298,372,107,89,2.0,15,68,SMALL,2,,,
4,510,521,760,1318,250,3.0,11,219,LARGE,2,,,
5,790,805,1015,1022,225,3.0,15,192,SMALL,2,,,
3,481,499,1242,3343,761,2.6,18,266,LARGE,3,,,
6,1054,1243,1493,1360,439,2.2,189,228,LARGE,2,,,
2,293,373,2200,13348,1907,3.3,80,744,LARGE,3,,,
8,1729,2201,2738,7185,1009,4.6,472,468,LARGE,3,,,
13,3129,3130,3450,2922,321,7.5,1,264,LARGE,2,,,
19,3688,3711,3723,0,35,11.0,23,12,TINY,3,,,
14,3177,3451,3885,3064,708,10.3,274,324,LARGE,3,,,
22,4074,4094,4287,989,213,12.2,20,144,SMALL,2,,,
7,1426,2739,4564,13058,3138,8.5,1313,706,LARGE,5,,,
24,4390,4565,5020,3071,630,13.3,175,338,LARGE,2,,,
28,5154,5160,5197,43,43,15.5,6,29,TINY,2,,,
27,5039,5048,5488,3042,449,14.8,9,290,LARGE,2,,,
30,5476,5489,5587,126,111,15.5,13,73,SMALL,2,,,
31,5539,5588,5716,171,177,15.0,49,96,SMALL,2,,,
32,5863,5885,6148,1076,285,15.0,22,191,SMALL,2,,,
23,4244,5021,6590,8210,2346,15.3,777,450,LARGE,6,,,
36,6618,6620,6784,393,166,17.0,2,119,SMALL,2,,,
18,3433,6591,7501,7630,4068,17.6,3158,502,LARGE,9,,,
40,7553,7562,8070,3132,517,20.7,9,330,LARGE,2,,,
45,8290,8295,8376,90,86,23.0,5,57,SMALL,2,,,
44,8023,8071,8519,1552,496,22.0,48,234,LARGE,3,,,
47,8756,8774,8922,189,166,24.2,18,98,SMALL,2,,,
38,6943,7502,9228,5200,2285,22.8,559,388,LARGE,6,,,
51,9546,9559,9867,1121,321,25.2,13,191,SMALL,2,,,
41,7602,9229,10237,4472,2635,26.2,1627,420,LARGE,7,,,
52,9823,10238,10958,4203,1135,30.4,415,401,LARGE,3,,,
63,11007,11033,11114,103,107,35.3,26,44,TINY,3,,,
65,11044,11115,11210,102,166,35.0,71,59,SMALL,3,,,
59,10731,10959,11533,1654,802,33.9,228,218,LARGE,4,,,
66,11474,11534,11890,1166,416,34.8,60,194,SMALL,3,,,
67,11574,11891,12238,1166,664,34.0,317,185,SMALL,4,,,
64,11038,12239,12743,3093,1705,33.5,1201,277,LARGE,7,,,
68,12464,12744,12983,550,519,33.0,280,137,SMALL,4,,,
72,13240,13246,13302,54,62,36.0,6,37,TINY,2,,,
70,13107,13132,13587,1542,480,36.2,25,211,LARGE,3,,,
60,10825,12984,14118,3810,3293,37.7,2159,347,LARGE,10,,,
82,14705,14745,14808,58,103,44.0,40,40,TINY,3,,,
74,13376,14119,14900,3458,1524,42.1,743,346,LARGE,5,,,
61,10867,14901,15647,3417,4780,44.9,4034,352,LARGE,14,,,
86,15354,15648,16231,3185,877,47.9,294,264,LARGE,4,,,
91,15943,16232,16734,1613,791,49.0,289,227,LARGE,4,,,
93,16874,16915,17345,1236,471,50.0,41,198,SMALL,3,,,
96,17548,17576,17718,180,170,51.5,28,63,SMALL,3,,,
95,17274,17346,18003,1770,729,50.9,72,225,LARGE,4,,,
100,18327,18328,18531,250,204,53.8,1,92,SMALL,3,,,
89,15812,16735,18875,4832,3063,51.4,923,373,LARGE,9,,,
97,17645,18876,19701,3489,2056,53.7,1231,359,LARGE,6,,,
105,19654,19702,20004,616,350,55.0,48,134,SMALL,3,,,
106,20135,20149,20306,185,171,55.0,14,73,SMALL,3,,,
101,18364,20005,21062,3742,2698,56.1,1641,380,LARGE,8,,,
110,20949,21063,21829,3370,880,58.6,114,317,LARGE,3,,,
118,22244,22293,22364,68,120,64.5,49,38,TINY,4,,,
113,21520,21830,22746,3540,1226,62.9,310,330,LARGE,4,,,
122,22959,23012,23235,275,276,66.0,53,87,SMALL,4,,,
123,23330,23342,23632,518,302,66.0,12,120,SMALL,3,,,
124,23678,23686,23905,275,227,66.0,8,83,SMALL,3,,,
107,20315,22747,24466,4409,4151,66.5,2432,375,LARGE,12,,,
127,24156,24467,24761,523,605,69.0,311,119,SMALL,6,,,
129,24330,24762,25160,1188,830,69.6,432,150,SMALL,6,,,
134,25374,25385,25519,140,145,72.7,11,60,SMALL,3,,,
128,24271,25161,26270,3783,1999,71.7,890,349,LARGE,6,,,
137,26443,26498,27140,1746,697,73.2,55,234,LARGE,3,,,
141,27414,27427,27487,74,73,77.0,13,21,TINY,4,,,
139,27339,27369,27668,355,329,75.6,30,83,SMALL,4,,,
133,25231,26271,28204,4607,2973,74.2,1040,349,LARGE,9,,,
145,28382,28441,28694,295,312,77.2,59,97,SMALL,4,,,
140,27376,28205,29295,3692,1919,76.7,829,290,LARGE,7,,,
148,29478,29532,29611,75,133,79.5,54,39,TINY,4,,,
150,29591,29612,29867,299,276,79.0,21,95,SMALL,3,,,
151,29866,29868,30237,692,371,80.7,2,125,SMALL,3,,,
152,29991,30238,30494,307,503,82.0,247,88,SMALL,6,,,
156,30570,30617,30810,227,240,82.8,47,67,SMALL,4,,,
142,27424,29296,31634,5817,4210,82.7,1872,383,LARGE,11,,,
165,32193,32205,32597,718,404,89.1,12,122,SMALL,4,,,
167,32650,32663,32733,81,83,90.0,13,24,TINY,4,,,
160,31166,31635,33127,4125,1961,87.6,469,321,LARGE,7,,,
169,33014,33128,33680,1337,666,92.0,114,176,SMALL,4,,,
174,34251,34283,34366,83,115,94.5,32,35,TINY,4,,,
175,34313,34367,34640,331,327,94.2,54,81,SMALL,5,,,
147,29458,33681,35135,4070,5677,93.4,4223,338,LARGE,17,,,
179,35396,35408,36259,3264,863,97.8,12,258,LARGE,4,,,
183,36227,36260,36696,755,469,101.3,33,129,SMALL,4,,,
188,36896,36913,36928,0,32,103.0,17,15,TINY,3,,,
184,36230,36697,37518,1931,1288,103.4,467,228,LARGE,6,,,
194,37867,37885,38269,623,402,108.8,18,109,SMALL,4,,,
198,38292,38345,38507,179,215,111.7,53,49,TINY,5,,,
173,33892,35136,38988,6466,5096,105.7,1244,340,LARGE,15,,,
203,38827,38989,39471,797,644,114.9,162,133,SMALL,5,,,
181,35837,39472,40575,3709,4738,115.6,3635,286,LARGE,17,,,
185,36308,40576,41785,3829,5477,120.2,4268,301,LARGE,19,,,
219,42041,42118,42212,99,171,127.5,77,30,TINY,6,,,
223,42265,42297,42390,100,125,129.0,32,28,TINY,5,,,
215,41361,41786,43252,4082,1891,128.5,425,305,LARGE,7,,,
228,43148,43253,44219,2083,1071,133.8,105,221,LARGE,5,,,
222,42247,44220,45582,3976,3335,139.5,1973,307,LARGE,11,,,
240,45434,45583,45690,108,256,144.0,149,34,TINY,8,,,
235,44582,45691,46645,2038,2063,147.0,1109,214,LARGE,10,,,
251,46643,46646,47149,733,506,153.2,3,118,SMALL,5,,,
253,46882,47150,47657,738,775,155.2,268,117,SMALL,7,,,
257,47633,47658,48060,452,427,155.4,25,89,SMALL,5,,,
259,48085,48159,48655,743,570,157.0,74,101,SMALL,6,,,
248,46173,48061,49371,2098,3198,158.6,1888,173,SMALL,19,,,
262,48830,49372,49983,937,1153,161.7,542,122,SMALL,10,,,
260,48166,49984,50825,1625,2659,164.4,1818,177,SMALL,16,,,
273,50911,50929,51763,1634,852,167.3,18,161,SMALL,6,,,
275,51606,51764,51983,237,377,169.7,158,48,TINY,8,,,
277,51787,51984,52102,121,315,170.0,197,32,TINY,10,,,
280,52494,52523,52846,359,352,171.0,29,65,SMALL,6,,,
281,52608,52847,53173,361,565,171.8,239,66,SMALL,9,,,
244,45988,50826,53610,3598,7622,170.2,4838,190,SMALL,41,,,
284,53356,53611,54798,2303,1442,173.8,255,222,LARGE,7,,,
287,54138,54799,55459,979,1321,176.0,661,129,SMALL,11,,,
292,55437,55460,56024,797,587,178.3,23,115,SMALL,6,,,
291,55294,56025,56921,1694,1627,182.0,731,163,SMALL,10,,,
295,55973,56922,57941,1842,1968,185.0,949,181,SMALL,11,,,
301,57278,57942,58539,829,1261,191.5,664,116,SMALL,11,,,
316,58825,58894,59391,536,566,197.8,69,100,SMALL,6,,,
322,59533,59633,59897,270,364,202.0,100,60,SMALL,7,,,
319,59339,59392,60507,1913,1168,201.4,53,142,SMALL,9,,,
236,44784,58540,61617,5507,16833,202.5,13756,241,LARGE,70,,,
276,51757,61618,63131,3929,11374,207.8,9861,255,LARGE,45,,,
334,63526,63631,63897,278,371,210.0,105,54,SMALL,7,,,
333,63305,63381,64413,1348,1108,210.1,76,132,SMALL,9,,,
340,64597,64667,64685,0,88,214.0,70,18,TINY,5,,,
336,64125,64414,65078,903,953,213.5,289,109,SMALL,9,,,
279,51925,63132,66383,5666,14458,214.9,11207,256,LARGE,57,,,
344,65617,66384,67176,1117,1559,221.4,767,123,SMALL,13,,,
345,65883,67177,68100,1722,2217,222.2,1294,141,SMALL,16,,,
343,65369,68101,69299,2013,3930,223.1,2732,189,SMALL,21,,,
362,70197,70237,70250,0,53,230.0,40,13,TINY,5,,,
347,66108,69300,70802,2612,4694,228.1,3192,228,LARGE,21,,,
364,70658,70803,71767,1759,1109,232.9,145,145,SMALL,8,,,
367,71423,71768,72061,303,638,236.3,345,56,SMALL,12,,,
377,72635,72764,73196,466,561,243.2,129,67,SMALL,9,,,
365,70761,72062,73924,2950,3163,242.8,1301,210,LARGE,16,,,
391,75308,75378,75530,162,222,253.0,70,25,TINY,9,,,
358,69610,73925,75687,2871,6077,249.8,4315,229,LARGE,27,,,
393,75821,75835,77335,2585,1514,256.2,14,213,LARGE,8,,,
399,77322,77336,78703,2181,1381,260.3,14,190,SMALL,8,,,
405,78760,78856,79472,671,712,264.6,96,84,SMALL,9,,,
400,77984,78704,80098,1630,2114,264.7,720,112,SMALL,19,,,
410,80710,80711,81188,503,478,267.0,1,75,SMALL,7,,,
413,81134,81189,81519,336,385,268.0,55,60,SMALL,7,,,
407,79071,80099,82150,2844,3079,267.8,1028,168,SMALL,19,,,
421,82403,82464,82625,173,222,275.5,61,23,TINY,10,,,
424,83111,83258,83580,346,469,278.3,147,42,TINY,12,,,
417,81911,82151,84067,2734,2156,276.1,240,186,SMALL,12,,,
429,83993,84068,84408,348,415,280.0,75,58,SMALL,8,,,
433,84799,84891,86034,1940,1235,284.4,92,143,SMALL,9,,,
432,84550,84569,87196,3445,2646,287.5,19,186,SMALL,15,,,
390,75092,75688,88870,15608,13778,288.4,596,245,LARGE,57,,,
448,89322,89372,90219,1088,897,294.7,50,107,SMALL,9,,,
450,90444,90556,90911,363,467,295.7,112,58,SMALL,9,,,
439,86211,88871,91931,4175,5720,295.6,2660,223,LARGE,26,,,
455,91502,91932,92971,1360,1469,303.3,430,127,SMALL,12,,,
467,93504,93669,93683,0,179,310.0,165,14,TINY,13,,,
462,92506,92972,94231,2041,1725,309.4,466,158,SMALL,11,,,
456,91624,94232,95846,2429,4222,315.5,2608,189,SMALL,23,,,
484,96767,96932,97491,590,724,324.2,165,70,SMALL,11,,,
452,91045,95847,98063,3023,7018,323.2,4802,197,SMALL,36,,,
488,97526,98064,99197,1448,1671,332.6,538,133,SMALL,13,,,
497,98640,99198,99594,402,954,335.0,558,60,SMALL,16,,,
493,98204,99595,100913,2116,2709,334.0,1391,142,SMALL,20,,,
441,86338,100914,102977,3175,16639,333.0,14576,226,LARGE,74,,,
468,93621,102978,105043,3175,11422,332.0,9357,228,LARGE,51,,,
442,86447,105044,107103,3164,20656,331.0,18597,233,LARGE,89,,,
495,98574,107104,109167,3164,10593,330.0,8530,237,LARGE,45,,,
496,98599,109168,111223,3153,12624,329.0,10569,240,LARGE,53,,,
363,70362,111224,113451,4651,43089,328.0,40862,247,LARGE,175,,,
447,89241,113452,115675,4639,26434,327.0,24211,255,LARGE,104,,,
320,59427,115676,117901,4639,58474,326.0,56249,257,LARGE,228,,,
382,73101,117902,120117,4627,47016,325.0,44801,259,LARGE,182,,,
480,95930,120118,122500,4985,26570,324.0,24188,263,LARGE,102,,,
386,74326,122501,124876,4972,50550,323.0,48175,269,LARGE,188,,,
438,86204,124877,127252,4972,41048,322.0,38673,269,LARGE,153,,,
359,69673,127253,129617,4959,59944,321.0,57580,271,LARGE,222,,,
353,67631,129618,131986,4959,64355,320.0,61987,275,LARGE,235,,,
355,69058,131987,134342,4946,65284,319.0,62929,275,LARGE,238,,,
338,64479,134343,136702,4946,72223,318.0,69864,279,LARGE,259,,,
384,73658,136703,139213,5118,65555,317.0,63045,284,LARGE,231,,,
451,90649,139214,141724,5118,51075,316.0,48565,284,LARGE,180,,,
487,97506,141725,144226,5104,46720,315.0,44219,289,LARGE,162,,,
453,91405,144227,146734,5104,55329,314.0,52822,295,LARGE,188,,,
458,92059,146735,149228,5090,57169,313.0,54676,295,LARGE,194,,,
306,57942,149229,151723,5090,93781,312.0,91287,296,LARGE,317,,,
387,74344,151724,154369,5261,80025,311.0,77380,305,LARGE,263,,,
436,85463,154370,157017,5261,71554,310.0,68907,307,LARGE,234,,,
265,49413,157018,159652,5246,110239,309.0,107605,309,LARGE,357,,,
408,79555,159653,162291,5246,82736,308.0,80098,313,LARGE,265,,,
332,63182,162292,164916,5231,101734,307.0,99110,314,LARGE,324,,,
218,41727,164917,167547,5231,125820,306.0,123190,320,LARGE,394,,,
369,71511,167548,170163,5216,98652,305.0,96037,320,LARGE,309,,,
396,76296,170164,172779,5216,96483,304.0,93868,320,LARGE,302,,,
459,92407,172780,175534,5386,83127,303.0,80373,322,LARGE,259,,,
246,46056,175535,178293,5386,132237,302.0,129479,326,LARGE,406,,,
310,58139,178294,181037,5370,122898,301.0,120155,327,LARGE,376,,,
427,83557,181038,183781,5370,100224,300.0,97481,327,LARGE,307,,,
186,36598,183782,186516,5354,149918,299.0,147184,334,LARGE,449,,,
475,94667,186517,189257,5354,94590,298.0,91850,340,LARGE,279,,,
469,93707,189258,192134,5556,98427,297.0,95551,343,LARGE,287,,,
314,58609,192135,195013,5556,136404,296.0,133526,345,LARGE,396,,,
255,46983,195014,197879,5539,150896,295.0,148031,349,LARGE,433,,,
423,82545,197880,200747,5539,118202,294.0,115335,351,LARGE,337,,,
465,92951,200748,203598,5522,110647,293.0,107797,351,LARGE,316,,,
282,52801,203599,206452,5522,153651,292.0,150798,354,LARGE,435,,,
250,46629,206453,209291,5505,162662,291.0,159824,356,LARGE,457,,,
278,51852,209292,212131,5505,160279,290.0,157440,357,LARGE,449,,,
491,97822,212132,215106,5675,117284,289.0,114310,364,LARGE,323,,,
325,60624,215107,218084,5675,157460,288.0,154483,367,LARGE,430,,,
213,41295,218085,221047,5657,179752,287.0,176790,370,LARGE,486,,,
350,66496,221048,224013,5657,157517,286.0,154552,373,LARGE,423,,,
164,32174,224014,226963,5639,194789,285.0,191840,375,LARGE,520,,,
379,72990,226964,229915,5639,156925,284.0,153974,377,LARGE,417,,,
486,97414,229916,232997,6560,135583,283.0,132502,383,LARGE,355,,,
85,14923,232998,236080,6560,221157,282.0,218075,384,LARGE,576,,,
239,45323,236081,239151,6541,193828,281.0,190758,391,LARGE,496,,,
242,45563,239152,242224,6541,196661,280.0,193589,393,LARGE,501,,,
254,46960,242225,245278,6522,198318,279.0,195265,393,LARGE,505,,,
374,72131,245279,248334,6522,176203,278.0,173148,395,LARGE,447,,,
494,98568,248335,251371,6503,152803,277.0,149767,395,LARGE,387,,,
199,38298,251372,254410,6503,216112,276.0,213074,397,LARGE,545,,,
445,87505,254411,257431,6484,169926,275.0,166906,398,LARGE,427,,,
159,30986,257432,260453,6484,229467,274.0,226446,399,LARGE,576,,,
205,39177,260454,263595,6624,224418,273.0,221277,401,LARGE,560,,,
172,33718,263596,266739,6624,233021,272.0,229878,403,LARGE,579,,,
170,33064,266740,269864,6604,236800,271.0,233676,404,LARGE,587,,,
401,78052,269865,272993,6604,194941,270.0,191813,408,LARGE,478,,,
418,81920,272994,276103,6584,194183,269.0,191074,409,LARGE,475,,,
321,59504,276104,279215,6584,219711,268.0,216600,411,LARGE,535,,,
196,37990,279216,282312,6564,244322,267.0,241226,416,LARGE,588,,,
339,64494,282313,285411,6564,220917,266.0,217819,418,LARGE,529,,,
197,38157,285412,288491,6544,250334,265.0,247255,419,LARGE,598,,,
206,39261,288492,291706,9855,252445,264.0,249231,421,LARGE,600,,,
308,58095,291707,294902,9834,236807,263.0,233612,423,LARGE,560,,,
226,43087,294903,298099,9834,255012,262.0,251816,424,LARGE,602,,,
335,63963,298100,301276,9813,237313,261.0,234137,425,LARGE,559,,,
269,49779,301277,304456,9813,254677,260.0,251498,428,LARGE,596,,,
81,14251,304457,307617,9792,293366,259.0,290206,430,LARGE,683,,,
270,50143,307618,310778,9792,260635,258.0,257475,430,LARGE,607,,,
57,10258,310779,313923,9771,303665,257.0,300521,435,LARGE,699,,,
409,79896,313924,317069,9771,237173,256.0,234028,436,LARGE,544,,,
360,69733,317070,320327,9907,250594,255.0,247337,441,LARGE,569,,,
378,72963,320328,323586,9907,250623,254.0,247365,442,LARGE,568,,,
412,81065,323587,326823,9885,245758,253.0,242522,442,LARGE,557,,,
304,57602,326824,330062,9885,272460,252.0,269222,444,LARGE,614,,,
261,48612,330063,333284,9863,284672,251.0,281451,449,LARGE,635,,,
414,81545,333285,336506,9863,254961,250.0,251740,449,LARGE,568,,,
158,30794,336507,339708,9841,308914,249.0,305713,451,LARGE,685,,,
187,36624,339709,342911,9841,306287,248.0,303085,452,LARGE,678,,,
373,71919,342912,346092,9819,274173,247.0,270993,452,LARGE,607,,,
416,81820,346093,349279,9819,267459,246.0,264273,458,LARGE,584,,,
348,66197,349280,352445,9797,286248,245.0,283083,459,LARGE,624,,,
237,44836,352446,355737,9945,310901,244.0,307610,462,LARGE,673,,,
211,40937,355738,359007,9922,318070,243.0,314801,463,LARGE,687,,,
327,61163,359008,362277,9922,301114,242.0,297845,463,LARGE,651,,,
154,30126,362278,365526,9899,335400,241.0,332152,465,LARGE,722,,,
71,13147,365527,368777,9899,355630,240.0,352380,467,LARGE,762,,,
88,15450,368778,372006,9876,356556,239.0,353328,468,LARGE,762,,,
328,61252,372007,375236,9876,313984,238.0,310755,469,LARGE,670,,,
125,23996,375237,378446,9853,354450,237.0,351241,472,LARGE,751,,,
434,84808,378447,381658,9853,296850,236.0,293639,474,LARGE,627,,,
114,21736,381659,384849,9830,363113,235.0,359923,476,LARGE,763,,,
217,41677,384850,388040,9830,346363,234.0,343173,476,LARGE,728,,,
326,60708,388041,391210,9807,330502,233.0,327333,478,LARGE,692,,,
446,87620,391211,394382,9807,306762,232.0,303591,480,LARGE,640,,,
372,71918,394383,397649,9968,325731,231.0,322465,482,LARGE,676,,,
177,34945,397650,400917,9968,365972,230.0,362705,483,LARGE,758,,,
489,97536,400918,404161,9944,306625,229.0,303382,483,LARGE,635,,,
307,58060,404162,407406,9944,349346,228.0,346102,484,LARGE,722,,,
473,94331,407407,410627,9920,316296,227.0,313076,484,LARGE,654,,,
130,24765,410628,413851,9920,389086,226.0,385863,487,LARGE,799,,,
357,69465,413852,417051,9896,347586,225.0,344387,487,LARGE,714,,,
135,25393,417052,420254,9896,394861,224.0,391659,490,LARGE,806,,,
422,82457,420255,423433,9872,340976,223.0,337798,490,LARGE,696,,,
161,31342,423434,426614,9872,395272,222.0,392092,492,LARGE,804,,,
216,41630,426615,429772,9848,388142,221.0,384985,493,LARGE,788,,,
144,28186,429773,432932,9848,404746,220.0,401587,495,LARGE,818,,,
329,61414,432933,436070,9824,374656,219.0,371519,497,LARGE,754,,,
294,55809,436071,439209,9824,383400,218.0,380262,498,LARGE,770,,,
305,57636,439210,442326,9800,384690,217.0,381574,500,LARGE,770,,,
126,23997,442327,445553,9947,421556,216.0,418330,501,LARGE,842,,,
119,22332,445554,448765,9922,426433,215.0,423222,511,LARGE,835,,,
298,56278,448766,451979,9922,395701,214.0,392488,513,LARGE,772,,,
214,41347,451980,455171,9897,413824,213.0,410633,516,LARGE,802,,,
263,48861,455172,458363,9897,409502,212.0,406311,516,LARGE,794,,,
471,93826,458364,461531,9872,367705,211.0,364538,517,LARGE,712,,,
230,43500,461532,464701,9872,421201,210.0,418032,519,LARGE,812,,,
104,19543,464702,467953,10531,448410,209.0,445159,521,LARGE,861,,,
389,75043,467954,471206,10531,396163,208.0,392911,522,LARGE,759,,,
138,27047,471207,474435,10505,447388,207.0,444160,524,LARGE,854,,,
229,43445,474436,477669,10505,434224,206.0,430991,529,LARGE,821,,,
385,73746,477670,480878,10479,407132,205.0,403924,530,LARGE,769,,,
440,86226,480879,484087,10479,397861,204.0,394653,530,LARGE,751,,,
92,16167,484088,487274,10453,471107,203.0,467921,534,LARGE,883,,,
136,26298,487275,490461,10453,464163,202.0,460977,534,LARGE,870,,,
146,28672,490462,493622,10427,464950,201.0,461790,534,LARGE,871,,,
193,37806,493623,496788,10427,458982,200.0,455817,539,LARGE,852,,,
53,9842,496789,499929,10401,490087,199.0,486947,540,LARGE,908,,,
168,32980,499930,503171,10534,470191,198.0,466950,541,LARGE,870,,,
73,13295,503172,506388,10507,493093,197.0,489877,543,LARGE,909,,,
297,56125,506389,509605,10507,453480,196.0,450264,543,LARGE,836,,,
437,86128,509606,512795,10480,426667,195.0,423478,543,LARGE,786,,,
120,22577,512796,515987,10480,493410,194.0,490219,545,LARGE,906,,,
33,6170,515988,519155,10453,512985,193.0,509818,548,LARGE,937,,,
383,73647,519156,522325,10453,448678,192.0,445509,550,LARGE,816,,,
477,95392,522326,525468,10426,430076,191.0,426934,550,LARGE,782,,,
37,6891,525469,528621,10426,521730,190.0,518578,560,LARGE,932,,,
189,37088,528622,531747,10399,494659,189.0,491534,560,LARGE,884,,,
392,75538,531748,534873,10399,459335,188.0,456210,560,LARGE,821,,,
116,22053,534874,538071,12113,516018,187.0,512821,565,LARGE,914,,,
149,29478,538072,541277,12113,511799,186.0,508594,573,LARGE,894,,,
288,54446,541278,544456,12085,490010,185.0,486832,574,LARGE,854,,,
182,35862,544457,547639,12085,511777,184.0,508595,578,LARGE,886,,,
238,44886,547640,550795,12057,505909,183.0,502754,579,LARGE,874,,,
87,15431,550796,553952,12057,538521,182.0,535365,580,LARGE,929,,,
210,40911,553953,557173,12555,516262,181.0,513042,581,LARGE,889,,,
285,53372,557174,560394,12555,507022,180.0,503802,581,LARGE,873,,,
428,83662,560395,563586,12526,479924,179.0,476733,581,LARGE,827,,,
431,84451,563587,566778,12526,482327,178.0,479136,581,LARGE,831,,,
443,86626,566779,569941,12497,483315,177.0,480153,581,LARGE,832,,,
420,82287,569942,573106,12497,490819,176.0,487655,583,LARGE,842,,,
98,17835,573107,576243,12468,558408,175.0,555272,584,LARGE,957,,,
227,43131,576244,579380,12468,536249,174.0,533113,584,LARGE,919,,,
212,41139,579381,582489,12439,541350,173.0,538242,585,LARGE,926,,,
449,89553,582490,585600,12439,496047,172.0,492937,587,LARGE,846,,,
293,55549,585601,588684,12410,533135,171.0,530052,589,LARGE,906,,,
470,93816,588685,591769,12410,497953,170.0,494869,590,LARGE,844,,,
444,87186,591770,594826,12381,507640,169.0,504584,591,LARGE,859,,,
454,91488,594827,597885,12381,506397,168.0,503339,593,LARGE,854,,,
46,8579,597886,600916,12352,592337,167.0,589307,594,LARGE,998,,,
204,39032,600917,603951,12352,564919,166.0,561885,598,LARGE,945,,,
155,30132,603952,607043,12452,576911,165.0,573820,601,LARGE,960,,,
403,78226,607044,610139,12452,531913,164.0,528818,605,LARGE,880,,,
16,3408,610140,613206,12422,609798,163.0,606732,606,LARGE,1007,,,
402,78073,613207,616276,12422,538203,162.0,535134,609,LARGE,884,,,
492,97847,616277,619317,12392,521470,161.0,518430,610,LARGE,855,,,
247,46080,619318,622360,12392,576280,160.0,573238,612,LARGE,942,,,
419,82177,622361,625373,12362,543196,159.0,540184,612,LARGE,888,,,
241,45457,625374,628388,12362,582931,158.0,579917,614,LARGE,950,,,
132,25076,628389,631460,12502,606384,157.0,603313,622,LARGE,975,,,
457,92017,631461,634534,12502,542517,156.0,539444,624,LARGE,870,,,
17,3415,634535,637578,12471,634163,155.0,631120,625,LARGE,1015,,,
180,35550,637579,640629,12471,605079,154.0,602029,632,LARGE,958,,,
406,78820,640630,643650,12440,564830,153.0,561810,633,LARGE,893,,,
258,47915,643651,646672,12440,598757,152.0,595736,634,LARGE,945,,,
201,38715,646673,649664,12409,610949,151.0,607958,635,LARGE,963,,,
166,32538,649665,652658,12409,620120,150.0,617127,637,LARGE,974,,,
69,13000,652659,655622,12378,642622,149.0,639659,638,LARGE,1008,,,
309,58103,655623,658664,12701,600561,148.0,597520,641,LARGE,937,,,
498,98745,658665,661674,12669,562929,147.0,559920,641,LARGE,879,,,
376,72286,661675,664690,12669,592404,146.0,589389,647,LARGE,916,,,
192,37556,664691,667677,12637,630121,145.0,627135,650,LARGE,970,,,
349,66483,667678,670668,12637,604185,144.0,601195,654,LARGE,924,,,
163,32020,670669,673628,12605,641608,143.0,638649,655,LARGE,980,,,
83,14729,673629,676591,12605,661862,142.0,658900,658,LARGE,1006,,,
411,80984,676592,679522,12573,598538,141.0,595608,658,LARGE,910,,,
464,92861,679523,682527,12724,589666,140.0,586662,661,LARGE,893,,,
267,49669,682528,685503,12691,635834,139.0,632859,665,LARGE,957,,,
331,61832,685504,688483,12691,626651,138.0,623672,669,LARGE,937,,,
466,93485,688484,691431,12658,597946,137.0,594999,670,LARGE,893,,,
256,47017,691432,694380,12658,647363,136.0,644415,671,LARGE,965,,,
243,45936,694381,697305,12625,651369,135.0,648445,680,LARGE,958,,,
286,54095,697306,700300,13030,646205,134.0,643211,682,LARGE,948,,,
84,14850,700301,703265,12996,688415,133.0,685451,686,LARGE,1004,,,
249,46370,703266,706235,12996,659865,132.0,656896,691,LARGE,955,,,
190,37134,706236,709175,12962,672041,131.0,669102,695,LARGE,967,,,
299,56586,709176,712116,12962,655530,130.0,652590,696,LARGE,942,,,
58,10374,712117,715027,12928,704653,129.0,701743,700,LARGE,1007,,,
397,76522,715028,718005,14214,641483,128.0,638506,702,LARGE,914,,,
460,92449,718006,720949,14179,628500,127.0,625557,703,LARGE,895,,,
289,54471,720950,723895,14179,669424,126.0,666479,705,LARGE,950,,,
202,38819,723896,726813,14144,687994,125.0,685077,712,LARGE,967,,,
478,95636,726814,729731,14144,634095,124.0,631178,712,LARGE,891,,,
366,70837,729732,732615,14109,661778,123.0,658895,713,LARGE,929,,,
11,2401,732616,735502,14109,733101,122.0,730215,716,LARGE,1024,,,
346,65999,735503,738358,14074,672359,121.0,669504,720,LARGE,934,,,
300,56778,738359,741276,14435,684498,120.0,681581,721,LARGE,950,,,
