pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times,process sizes,turnaround times
0,101,101,158,21,57,1.0,0,55,SMALL,2
1,178,178,14018,13818,13840,14.2,0,184,SMALL,76
2,335,346,21469,21111,21134,21.3,11,426,SMALL,50
3,349,357,22094,21723,21745,20.0,8,500,SMALL,44
4,373,373,18348,17968,17975,25.5,0,263,SMALL,69
5,671,674,16974,16294,16303,25.8,3,233,SMALL,70
6,790,795,1048,246,258,7.0,5,93,SMALL,3
7,791,800,19559,18753,18768,23.7,9,309,SMALL,61
8,1067,1069,21927,20851,20860,19.9,2,468,SMALL,45
9,1129,1129,1162,28,33,8.0,0,25,TINY,2
10,1169,1171,1210,32,41,8.0,2,30,TINY,2
11,1421,1423,21639,20210,20218,20.5,2,440,SMALL,46
12,1747,1747,17654,15902,15907,32.6,0,247,SMALL,65
13,1790,1791,15458,13663,13668,33.3,1,206,SMALL,67
14,1801,1803,21929,20122,20128,25.6,2,467,SMALL,44
15,1879,1881,19353,17468,17474,30.4,2,298,SMALL,59
16,1949,1951,20693,18737,18744,28.1,2,375,SMALL,50
17,1993,1993,22079,20081,20086,25.5,0,493,SMALL,41
18,2078,2080,14522,12438,12444,34.2,2,191,SMALL,66
19,2170,2170,2222,48,52,16.0,0,35,TINY,2
20,2361,2361,18324,15959,15963,32.2,0,262,SMALL,61
21,2372,2373,14920,12543,12548,34.6,1,197,SMALL,64
22,2404,2406,18697,16286,16293,31.8,2,273,SMALL,60
23,2674,2676,22064,19383,19390,26.1,2,488,SMALL,40
24,2756,2757,14796,12036,12040,33.8,1,195,SMALL,62
25,2833,2833,16624,13788,13791,33.7,0,226,SMALL,62
26,2857,2857,4308,1448,1451,23.9,0,51,SMALL,29
27,2877,2877,18865,15984,15988,31.9,0,279,SMALL,58
28,2900,2901,15116,12212,12216,34.5,1,200,SMALL,62
29,3232,3233,3298,62,66,25.0,1,33,TINY,2
30,3308,3309,18494,15182,15186,32.7,1,266,SMALL,58
31,3355,3355,16292,12934,12937,34.7,0,220,SMALL,59
32,3441,3441,19409,15965,15968,31.9,0,301,SMALL,54
33,3566,3567,19126,15555,15560,32.7,1,290,SMALL,54
34,3602,3603,16688,13082,13086,35.3,1,227,SMALL,58
35,3667,3667,9631,5961,5964,36.6,0,119,SMALL,51
36,3711,3711,13032,9318,9321,36.9,0,169,SMALL,56
37,3767,3767,22087,18311,18320,27.6,0,499,SMALL,37
38,3805,3805,9759,5951,5954,37.2,0,121,SMALL,50
39,4197,4197,4276,76,79,34.0,0,40,TINY,2
40,4327,4327,9639,5309,5312,37.3,0,119,SMALL,45
41,4546,4546,8103,3554,3557,39.8,0,95,SMALL,38
42,4585,4586,19457,14867,14872,34.0,1,304,SMALL,49
43,4602,4602,17542,12937,12940,36.4,0,244,SMALL,54
44,4646,4646,22003,17351,17357,28.9,0,478,SMALL,37
45,4667,4668,20012,15340,15345,33.0,1,334,SMALL,46
46,4700,4700,17162,12459,12462,37.1,0,236,SMALL,53
47,4887,4888,22005,17114,17118,29.2,1,475,SMALL,37
48,4889,4890,13398,8505,8509,39.8,1,174,SMALL,49
49,4970,4970,6401,1428,1431,42.0,0,69,SMALL,21
