pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times
0,7,7,640,616,633,9.6,0,576
0,9,231220,231544,308,324,96.7,231211,295
1,32,641,5699,5038,5058,66.8,609,4599
1,18,231545,231825,264,280,99.0,231527,255
2,76,5700,8260,2541,2560,98.0,5624,2328
2,53,231826,231866,22,40,98.0,231773,37
3,100,8261,12170,3894,3909,97.0,8161,3554
3,64,231867,232030,143,163,97.0,231803,149
4,122,12171,15610,3421,3439,96.0,12049,3127
4,84,232031,232505,462,474,96.0,231947,431
5,150,15611,18399,2772,2788,95.0,15461,2535
5,111,232506,232734,209,228,95.0,232395,208
6,176,18400,18847,429,447,94.0,18224,407
6,221,232735,232832,77,97,94.0,232514,89
7,183,18848,19463,594,615,93.0,18665,560
7,299,232833,233180,330,347,93.0,232534,316
8,223,19464,22562,3080,3098,92.0,19241,2817
8,308,233181,233564,363,383,92.0,232873,349
9,243,22563,24128,1551,1565,91.0,22320,1423
9,358,233565,234025,440,460,91.0,233207,419
10,362,24129,24223,77,94,90.0,23767,86
10,414,234026,234055,11,29,90.0,233612,27
11,393,24224,28861,4620,4637,89.0,23831,4216
11,428,234056,234588,517,532,89.0,233628,484
12,395,28862,32809,3927,3947,88.0,28467,3589
12,475,234589,235050,440,461,88.0,234114,420
13,480,32810,34176,1353,1366,87.0,32330,1242
13,499,235051,235592,528,541,87.0,234552,492
14,574,34177,34384,187,207,86.0,33603,189
14,699,235593,235977,363,384,86.0,234894,350
15,591,34385,36160,1760,1775,85.0,33794,1614
15,729,235978,236343,352,365,85.0,235249,332
16,618,36161,36894,715,733,84.0,35543,667
16,880,236344,236745,385,401,84.0,235464,365
17,730,36895,40533,3619,3638,83.0,36165,3308
17,933,236746,236972,209,226,83.0,235813,206
18,757,40534,42279,1727,1745,82.0,39777,1587
18,1092,236973,237071,77,98,82.0,235881,90
19,819,42280,43290,990,1010,81.0,41461,919
19,1120,237072,237619,528,547,81.0,235952,498
20,824,43291,46362,3058,3071,80.0,42467,2792
20,1194,237620,237718,77,98,80.0,236426,90
21,848,46363,47673,1298,1310,79.0,45515,1191
21,1202,237719,237838,99,119,79.0,236517,109
22,942,47674,48993,1298,1319,78.0,46732,1200
22,1332,237839,238159,308,320,78.0,236507,291
23,943,48994,49147,132,153,77.0,48051,140
23,1334,238160,238348,176,188,77.0,236826,171
24,952,49148,52692,3531,3544,76.0,48196,3222
24,1335,238349,238705,341,356,76.0,237014,324
25,959,52693,54679,1969,1986,75.0,51734,1806
25,1375,238706,238880,154,174,75.0,237331,159
26,1096,54680,55128,429,448,74.0,53584,408
