pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times,process sizes,turnaround times
0,91,91,158,44,67,1.7,0,41,TINY,2
1,99,135,11292,11133,11193,16.3,36,462,SMALL,25
2,125,160,6460,6272,6335,14.2,35,246,SMALL,26
3,133,182,9682,9470,9549,17.2,49,328,SMALL,30
4,133,204,11574,11332,11441,16.5,71,456,SMALL,26
5,194,292,7208,6882,7014,17.8,98,292,SMALL,25
6,558,666,8859,8159,8301,22.2,108,292,SMALL,29
7,583,688,11112,10391,10529,20.7,105,331,SMALL,32
8,692,776,5654,4837,4962,21.1,84,199,SMALL,25
9,722,798,12200,11376,11478,16.5,76,484,SMALL,24
10,1052,1106,5858,4726,4806,21.3,54,184,SMALL,27
11,1172,1194,9179,7953,8007,22.0,22,290,SMALL,28
12,1345,1348,9212,7833,7867,21.8,3,229,SMALL,35
13,1482,1524,1667,110,185,12.8,42,71,SMALL,3
14,1611,1634,12306,10634,10695,16.4,23,496,SMALL,22
15,1640,1691,9518,7787,7878,22.4,51,278,SMALL,29
16,1876,1911,9540,7587,7664,22.5,35,220,SMALL,35
17,2034,2065,12341,10243,10307,17.6,31,431,SMALL,24
18,2273,2307,6801,4463,4528,18.8,34,109,SMALL,42
19,2361,2395,2495,66,134,17.0,34,72,SMALL,2
20,2560,2585,9852,7231,7292,22.8,25,254,SMALL,29
21,2622,2651,7106,4416,4484,23.3,29,177,SMALL,26
22,2867,2893,12351,9428,9484,18.9,26,408,SMALL,24
23,2885,2937,10062,7093,7177,23.8,52,290,SMALL,25
24,2917,3003,11750,8705,8833,21.2,86,360,SMALL,25
25,2928,3025,3134,79,206,24.0,97,28,TINY,8
26,3024,3113,3124,0,100,26.0,89,11,TINY,10
27,3030,3136,7577,4404,4547,28.0,106,135,SMALL,34
28,3047,3158,3169,0,122,26.0,111,11,TINY,12
29,3072,3215,10210,6959,7138,26.0,143,234,SMALL,31
30,3127,3259,3617,330,490,27.0,132,46,TINY,11
31,3136,3281,12388,9072,9252,18.3,145,433,SMALL,22
32,3201,3369,4113,711,912,30.2,168,91,SMALL,11
33,3310,3501,3880,338,570,30.0,191,59,SMALL,10
34,3486,3663,7872,4180,4386,30.1,177,167,SMALL,27
35,3638,3773,4220,408,582,33.3,135,57,SMALL,11
36,3640,3795,11875,8045,8235,23.9,155,313,SMALL,27
37,3719,3904,4547,606,828,33.2,185,75,SMALL,12
38,3738,3948,10529,6550,6791,25.0,210,289,SMALL,24
39,3765,3992,4428,403,663,34.0,227,51,SMALL,13
40,3825,4058,4508,416,683,34.0,233,52,SMALL,14
41,3983,4159,4393,195,410,34.0,176,37,TINY,12
42,4041,4244,12438,8168,8397,17.8,203,444,SMALL,19
43,4058,4266,11996,7699,7938,23.6,208,309,SMALL,26
44,4169,4395,10847,6422,6678,24.7,226,288,SMALL,24
45,4397,4593,4907,286,510,33.3,196,46,TINY,12
46,4520,4681,10860,6146,6340,28.5,161,211,SMALL,31
47,4581,4747,12464,7693,7883,17.9,166,422,SMALL,19
48,4830,4953,11077,6085,6247,24.3,123,297,SMALL,22
49,4934,5041,8757,3691,3823,32.7,107,103,SMALL,38
