pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times,process sizes,turnaround times
0,36,36,108,42,72,1.0,0,69,SMALL,72
1,174,174,2561,2363,2387,6.6,0,403,SMALL,2387
2,293,321,1496,1151,1203,6.2,28,203,SMALL,1203
3,353,405,484,42,131,3.5,52,36,SMALL,131
4,438,506,2868,2329,2430,11.5,68,232,SMALL,2430
5,523,590,5526,4907,5003,18.5,67,288,SMALL,5003
6,542,632,11908,11250,11366,22.7,90,485,SMALL,11366
7,553,674,10666,9952,10113,23.3,121,439,SMALL,10113
8,709,842,8271,7403,7562,23.2,133,325,SMALL,7562
9,774,926,5111,4145,4337,20.2,152,239,SMALL,4337
10,1231,1409,4125,2686,2894,20.9,178,149,SMALL,2894
11,1235,1430,11839,10377,10604,26.4,195,391,SMALL,10604
12,1348,1560,10847,9254,9499,28.1,212,332,SMALL,9499
13,1474,1707,12007,10265,10533,27.4,233,374,SMALL,10533
14,1661,1896,12962,11034,11301,25.2,235,431,SMALL,11301
15,1679,1938,12979,11004,11300,25.1,259,436,SMALL,11300
16,1744,2022,11638,9594,9894,28.8,278,321,SMALL,9894
17,1822,2127,10883,8721,9061,30.1,305,294,SMALL,9061
18,1888,2211,12203,9961,10315,28.0,323,350,SMALL,10315
19,1889,2232,3096,826,1207,22.3,343,57,SMALL,1207
20,1967,2337,2347,0,380,22.0,370,10,SMALL,380
21,2033,2411,5206,2764,3173,29.2,378,110,SMALL,3173
22,2071,2474,5391,2880,3320,30.0,403,116,SMALL,3320
23,2313,2709,11573,8839,9260,30.2,396,284,SMALL,9260
24,2327,2751,3758,976,1431,26.0,424,50,SMALL,1431
25,2435,2869,13033,10132,10598,25.4,434,391,SMALL,10598
26,2555,2995,10885,7868,8330,31.4,440,241,SMALL,8330
27,2775,3244,8817,5532,6042,33.6,469,180,SMALL,6042
28,2855,3328,8893,5532,6038,33.4,473,172,SMALL,6038
29,2911,3391,13227,9811,10316,24.6,480,384,SMALL,10316
30,2912,3433,13235,9774,10323,24.5,521,387,SMALL,10323
31,3148,3664,10562,6872,7414,33.0,516,205,SMALL,7414
32,3162,3706,13326,9593,10164,24.1,544,386,SMALL,10164
33,3333,3885,12572,8661,9239,27.4,552,305,SMALL,9239
34,3423,3990,11743,7712,8320,30.6,567,260,SMALL,8320
35,3566,4147,11442,7255,7876,31.4,581,239,SMALL,7876
36,3702,4294,12545,8225,8843,27.9,592,285,SMALL,8843
37,3854,4462,6762,2269,2908,36.8,608,70,SMALL,2908
38,3931,4567,13439,8844,9508,22.2,636,387,SMALL,9508
39,4022,4672,10262,5562,6240,33.3,650,167,SMALL,6240
40,4051,4714,12129,7378,8078,29.2,663,256,SMALL,8078
41,4075,4777,6310,1508,2235,37.0,702,44,SMALL,2235
42,4099,4819,13471,8621,9372,21.6,720,390,SMALL,9372
43,4163,4882,13593,8675,9430,18.9,719,455,SMALL,9430
44,4250,4987,9351,4327,5101,34.6,737,136,SMALL,5101
45,4469,5228,11212,5952,6743,31.5,759,191,SMALL,6743
46,4705,5476,6263,765,1558,37.5,771,21,SMALL,1558
47,4810,5590,13556,7927,8746,19.0,780,418,SMALL,8746
48,4927,5737,7929,2160,3002,35.0,810,71,SMALL,3002
49,4973,5800,13495,7672,8522,20.3,827,362,SMALL,8522
