pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times
0,7,7,9326,9291,9319,22.7,0,287
1,17,28,137,84,109,2.7,11,104
2,68,10500,10808,273,308,42.0,10432,314
3,261,264,310,21,46,3.7,3,44
4,265,11767,12092,294,325,38.0,11502,330
5,444,24731,25204,441,473,5.0,24287,471
6,508,521,1024,478,503,12.3,13,164
7,560,563,613,21,50,8.0,3,48
8,569,22876,23335,420,459,9.0,22307,458
9,578,24261,24730,441,469,6.0,23683,467
10,587,16324,16695,336,371,25.0,15737,374
11,602,18622,19022,378,400,19.0,18020,401
12,636,12760,13101,315,341,35.0,12124,345
13,660,677,872,160,195,13.3,17,74
14,690,13793,14143,315,350,32.0,13103,354
15,723,740,815,42,75,14.8,17,72
16,734,8778,9045,231,267,48.0,8044,275
17,746,8243,8751,483,508,50.0,7497,264
18,805,12093,12420,294,327,37.0,11288,332
19,885,1025,5589,4537,4564,54.3,140,186
20,970,21084,21521,399,437,13.0,20114,437
21,1064,1067,1372,266,305,18.4,3,118
22,1108,1373,1508,105,135,21.3,265,149
23,1135,1151,1269,84,118,19.7,16,113
24,1141,11124,11442,294,318,40.0,9983,323
25,1197,14851,15567,693,716,29.0,13654,362
26,1238,10809,11123,273,314,41.0,9571,320
27,1366,1509,1648,105,139,22.4,143,153
28,1381,7255,7496,210,241,54.0,5874,250
29,1449,1649,5241,3569,3592,45.4,200,182
30,1501,19023,19425,378,402,18.0,17522,403
31,1578,19831,20236,378,405,16.0,18253,406
32,1662,9901,10198,273,297,44.0,8239,303
33,1692,20660,21083,399,423,14.0,18968,423
34,1710,26194,27177,945,983,2.0,24484,497
35,1733,1733,1749,0,16,26.0,0,16
36,1766,14872,15591,696,719,28.9,13106,362
37,1792,1792,1820,0,28,27.5,0,27
38,1800,7992,8242,210,250,51.0,6192,259
39,1821,1821,1976,126,155,28.0,0,148
40,1992,5242,5414,147,172,64.0,3250,184
41,2047,11443,11766,294,323,39.0,9396,328
42,2055,6374,6572,168,198,58.0,4319,209
43,2110,2124,2256,105,132,34.6,14,126
44,2122,17836,18227,357,391,21.0,15714,393
45,2142,2257,2409,126,152,35.2,115,165
46,2161,14497,14850,315,353,30.0,12336,357
47,2186,21522,21968,420,446,12.0,19336,445
48,2191,6573,6784,189,211,57.0,4382,221
49,2365,25205,25696,462,491,4.0,22840,488
50,2406,2410,2576,126,166,36.9,4,159
51,2424,9611,9900,252,289,45.0,7187,296
52,2576,12421,12759,315,338,36.0,9845,342
53,2594,20237,20659,399,422,15.0,17643,422
54,2647,8264,8777,488,513,49.9,5617,264
55,2696,2703,2736,0,33,40.5,7,32
56,2724,13102,13444,315,342,34.0,10378,346
57,2790,10199,10499,273,300,43.0,7409,306
58,2809,2821,3471,611,650,47.1,12,118
59,2860,14144,14496,315,352,31.0,11284,356
60,2864,3472,3614,105,142,49.0,608,156
61,2867,2884,2899,0,15,45.0,17,15
62,2928,3023,3120,63,97,46.2,95,113
63,2938,2942,3022,42,80,46.0,4,77
64,3019,3615,3763,126,148,49.5,596,161
65,3087,6182,6373,168,191,59.0,3095,202
66,3116,18228,18621,357,393,20.0,15112,395
67,3116,3121,3134,0,13,48.0,5,13
68,3187,3198,3225,0,27,48.5,11,26
69,3209,17452,17835,357,383,22.0,14243,385
70,3226,3226,3245,0,19,49.0,0,19
71,3230,25697,26193,462,496,3.0,22467,493
72,3319,3330,3368,0,38,50.0,11,37
73,3393,21969,22417,420,448,11.0,18576,447
74,3630,26215,27216,963,1001,1.9,22585,497
75,3672,17070,17451,357,381,23.0,13398,383
76,3802,15956,16323,336,367,26.0,12154,370
77,3810,23797,24260,441,463,7.0,19987,461
78,3867,23336,23796,420,460,8.0,19469,459
79,3867,3869,3959,63,90,53.6,2,86
80,3891,3960,4239,247,279,54.5,69,151
81,4038,4044,4101,21,57,54.3,6,55
82,4072,13445,13792,315,347,33.0,9373,351
83,4160,16696,17069,336,373,24.0,12536,376
84,4174,6785,7015,189,230,56.0,2611,240
85,4193,22418,22875,420,457,10.0,18225,456
86,4317,4324,4427,63,103,57.0,7,99
87,4493,5779,6158,357,379,61.0,1286,201
88,4542,7016,7254,210,238,55.0,2474,247
89,4546,4554,4673,84,119,60.7,8,114
90,4558,5590,5778,147,188,62.0,1032,200
91,4558,9327,9610,252,283,46.0,4769,290
92,4664,4674,4739,42,65,62.2,10,62
93,4675,7497,7742,210,245,53.0,2822,254
94,4715,4740,5070,292,330,64.4,25,157
95,4770,7743,7991,210,248,52.0,2973,257
96,4795,4803,4926,84,123,64.8,8,118
97,4821,19426,19830,378,404,17.0,14605,405
98,4962,15592,15955,336,363,27.0,10630,366
99,4988,5800,6181,359,381,60.8,812,201
