pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times,process sizes,turnaround times
0,84,84,20913,20807,20829,28.6,0,247,SMALL,85
1,103,105,17351,17234,17248,11.7,2,200,SMALL,87
2,206,214,264,40,58,3.0,8,44,TINY,2
3,348,353,37207,36845,36859,31.8,5,492,SMALL,75
4,759,759,6307,5541,5548,16.6,0,68,SMALL,82
5,776,777,14633,13850,13857,40.0,1,165,SMALL,84
6,841,843,14087,13238,13246,40.2,2,158,SMALL,84
7,896,898,12999,12096,12103,38.7,2,145,SMALL,84
8,907,910,31061,30146,30154,37.9,3,389,SMALL,78
9,1003,1004,33137,32128,32134,37.3,1,422,SMALL,77
10,1148,1149,2105,951,957,11.3,1,60,SMALL,16
11,1235,1236,9223,7983,7988,31.6,1,101,SMALL,80
12,1299,1299,35359,34056,34060,36.3,0,459,SMALL,75
13,1356,1356,30999,29639,29643,37.5,0,388,SMALL,77
14,1465,1467,31899,30428,30434,37.4,2,402,SMALL,76
15,1536,1536,19445,17905,17909,39.5,0,227,SMALL,79
16,1566,1566,28703,27133,27137,38.2,0,355,SMALL,77
17,1574,1575,13607,12028,12033,39.2,1,152,SMALL,80
18,1594,1596,36231,34631,34637,36.4,2,474,SMALL,74
19,1652,1653,36289,34632,34637,36.4,1,475,SMALL,73
20,2181,2181,30529,28344,28348,38.0,0,381,SMALL,75
21,2262,2262,13943,11678,11681,36.2,0,156,SMALL,75
22,2337,2338,18389,16048,16052,37.7,1,213,SMALL,76
23,2360,2360,17055,14692,14695,37.6,0,196,SMALL,75
24,2605,2605,37573,34965,34968,35.5,0,499,SMALL,71
25,2670,2671,158527,155846,155857,21.6,1,4909,LARGE,32
26,2909,2909,157360,154445,154451,22.1,0,4535,LARGE,35
27,2939,2939,149959,147017,147020,23.4,0,3813,MEDiUM,39
28,3064,3065,77341,74273,74277,29.7,1,1296,MEDiUM,58
29,3065,3067,102837,99767,99772,27.1,2,1889,MEDiUM,53
30,3106,3107,81255,78145,78149,29.3,1,1381,MEDiUM,57
31,3252,3253,138594,135337,135342,24.5,1,3256,MEDiUM,42
32,3282,3283,145668,142381,142386,24.0,1,3574,MEDiUM,40
33,3296,3297,103403,100103,100107,27.1,1,1903,MEDiUM,53
34,3346,3347,156406,153055,153060,22.4,1,4408,LARGE,35
35,3427,3427,157985,154549,154558,22.1,0,4666,LARGE,34
36,3566,3567,86635,83065,83069,28.8,1,1503,MEDiUM,56
37,3643,3643,157417,153771,153774,22.2,0,4542,LARGE,34
38,3717,3717,120961,117240,117244,26.0,0,2531,MEDiUM,47
39,3795,3795,124686,120888,120891,25.7,0,2676,MEDiUM,46
40,3831,3831,75155,71321,71324,30.1,0,1250,MEDiUM,58
41,3919,3919,152651,148727,148732,23.2,0,4010,LARGE,38
42,3928,3929,114919,110986,110991,26.5,1,2307,MEDiUM,49
43,4000,4001,158608,154599,154608,22.0,1,4983,LARGE,32
44,4073,4073,144465,140388,140392,24.2,0,3517,MEDiUM,40
45,4145,4145,148193,144044,144048,23.8,0,3707,MEDiUM,39
46,4172,4173,157951,153773,153779,22.2,1,4653,LARGE,34
47,4609,4609,147368,142756,142759,24.0,0,3660,MEDiUM,40
48,4709,4709,151660,146947,146951,23.4,0,3927,MEDiUM,38
49,4966,4967,152951,147979,147985,23.2,1,4038,LARGE,37
