pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times
0,7,7,640,616,633,9.6,0,576
0,9,231220,231544,308,324,96.7,231211,295
0,102,260999,265419,4400,4420,99.8,260897,4019
0,72,583570,583853,264,283,96.2,583498,258
1,32,641,5699,5038,5058,66.8,609,4599
1,18,231545,231825,264,280,99.0,231527,255
1,105,265420,268882,3443,3462,99.0,265315,3148
1,185,583854,584282,407,428,99.0,583669,390
2,76,5700,8260,2541,2560,98.0,5624,2328
2,53,231826,231866,22,40,98.0,231773,37
2,161,268883,272426,3531,3543,98.0,268722,3221
2,209,584283,584815,517,532,98.0,584074,484
3,100,8261,12170,3894,3909,97.0,8161,3554
3,64,231867,232030,143,163,97.0,231803,149
3,164,272427,276263,3817,3836,97.0,272263,3488
3,209,584816,585174,341,358,97.0,584607,326
4,122,12171,15610,3421,3439,96.0,12049,3127
4,84,232031,232505,462,474,96.0,231947,431
4,188,276264,281416,5137,5152,96.0,276076,4684
4,219,585175,585513,319,338,96.0,584956,308
5,150,15611,18399,2772,2788,95.0,15461,2535
5,111,232506,232734,209,228,95.0,232395,208
5,472,281417,283200,1771,1783,95.0,280945,1621
5,240,585514,585788,253,274,95.0,585274,250
6,176,18400,18847,429,447,94.0,18224,407
6,221,232735,232832,77,97,94.0,232514,89
6,514,283201,287289,4070,4088,94.0,282687,3717
6,250,585789,586290,484,501,94.0,585539,456
7,183,18848,19463,594,615,93.0,18665,560
7,299,232833,233180,330,347,93.0,232534,316
7,515,287290,289075,1771,1785,93.0,286775,1623
7,345,586291,586683,374,392,93.0,585946,357
8,223,19464,22562,3080,3098,92.0,19241,2817
8,308,233181,233564,363,383,92.0,232873,349
8,557,289076,294263,5170,5187,92.0,288519,4716
8,459,586684,587060,363,376,92.0,586225,342
9,243,22563,24128,1551,1565,91.0,22320,1423
9,358,233565,234025,440,460,91.0,233207,419
9,598,294264,296205,1925,1941,91.0,293666,1765
9,544,587061,587234,154,173,91.0,586517,158
10,362,24129,24223,77,94,90.0,23767,86
10,414,234026,234055,11,29,90.0,233612,27
10,687,296206,297498,1276,1292,90.0,295519,1175
10,635,587235,587726,473,491,90.0,586600,447
11,393,24224,28861,4620,4637,89.0,23831,4216
11,428,234056,234588,517,532,89.0,233628,484
11,715,297499,300797,3278,3298,89.0,296784,2999
11,668,587727,588050,308,323,89.0,587059,294
12,395,28862,32809,3927,3947,88.0,28467,3589
12,475,234589,235050,440,461,88.0,234114,420
12,734,300798,302829,2013,2031,88.0,300064,1847
12,726,588051,588597,528,546,88.0,587325,497
