pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times,process sizes,turnaround times
0,84,84,705,593,621,1.3,0,247,SMALL,3
1,103,126,655,488,552,1.8,23,200,SMALL,3
2,206,252,340,63,134,2.0,46,44,TINY,4
3,348,383,13870,13454,13522,23.7,35,492,SMALL,28
4,759,790,1029,210,270,4.0,31,68,SMALL,4
5,776,832,5739,4881,4963,21.8,56,165,SMALL,31
6,841,895,5800,4866,4959,19.4,54,158,SMALL,32
7,896,979,5848,4843,4952,19.8,83,145,SMALL,35
8,907,1000,13964,12934,13057,29.6,93,389,SMALL,34
9,1003,1114,17480,16343,16477,29.7,111,422,SMALL,40
10,1148,1240,1533,252,385,8.7,92,60,SMALL,7
11,1235,1345,6060,4693,4825,16.7,110,101,SMALL,48
12,1299,1408,17542,16094,16243,30.3,109,459,SMALL,36
13,1356,1492,14267,12746,12911,30.8,136,388,SMALL,34
14,1465,1576,17545,15946,16080,30.6,111,402,SMALL,40
15,1536,1660,10609,8921,9073,28.9,124,227,SMALL,40
16,1566,1681,14430,12713,12864,30.6,115,355,SMALL,37
17,1574,1702,6640,4905,5066,24.4,128,152,SMALL,34
18,1594,1744,17623,15844,16029,29.8,150,474,SMALL,34
19,1652,1828,17702,15838,16050,29.6,176,475,SMALL,34
20,2181,2311,14726,12393,12545,31.1,130,381,SMALL,33
21,2262,2395,7014,4582,4752,26.5,133,156,SMALL,31
22,2337,2479,11043,8530,8706,29.2,142,213,SMALL,41
23,2360,2500,7220,4683,4860,28.5,140,196,SMALL,25
24,2605,2689,17806,15077,15201,29.7,84,499,SMALL,31
25,2670,2794,94311,91487,91641,16.7,124,4909,LARGE,19
26,2909,2962,93185,90187,90276,18.0,53,4535,LARGE,20
27,2939,3004,87599,84561,84660,20.0,65,3813,MEDiUM,23
28,3064,3151,39222,36034,36158,26.7,87,1296,MEDiUM,28
29,3065,3172,53109,49907,50044,24.7,107,1889,MEDiUM,27
30,3106,3214,41881,38645,38775,26.4,108,1381,MEDiUM,29
31,3252,3361,79018,75620,75766,21.4,109,3256,MEDiUM,24
32,3282,3424,83821,80362,80539,20.7,142,3574,MEDiUM,23
33,3296,3445,55423,51954,52127,24.9,149,1903,MEDiUM,28
34,3346,3508,92623,89086,89277,18.4,162,4408,LARGE,21
35,3427,3613,93720,90080,90293,17.6,186,4666,LARGE,20
36,3566,3739,47030,43267,43464,26.5,173,1503,MEDiUM,29
37,3643,3844,93335,89468,89692,18.0,201,4542,LARGE,20
38,3717,3928,67539,63579,63822,23.3,211,2531,MEDiUM,26
39,3795,3991,69404,65376,65609,22.9,196,2676,MEDiUM,25
40,3831,4054,40430,36345,36599,27.7,223,1250,MEDiUM,30
41,3919,4138,89949,85780,86030,19.6,219,4010,LARGE,22
42,3928,4159,64041,59854,60113,23.9,231,2307,MEDiUM,27
43,4000,4264,94399,90111,90399,16.5,264,4983,LARGE,19
44,4073,4348,84364,79978,80291,20.9,275,3517,MEDiUM,23
45,4145,4432,87060,82600,82915,20.4,287,3707,MEDiUM,23
46,4172,4474,93881,89373,89709,17.6,302,4653,LARGE,20
47,4609,4852,86002,81109,81393,20.6,243,3660,MEDiUM,23
48,4709,4978,89308,84302,84599,19.8,269,3927,MEDiUM,22
49,4966,5209,90199,84951,85233,19.5,243,4038,LARGE,22
