pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times,process sizes,turnaround times
0,14,14,484,438,470,2.2,0,252,SMALL,2
1,28,55,104,21,76,2.0,27,27,TINY,3
2,215,246,1140,861,925,7.0,31,132,SMALL,8
3,233,288,5213,4887,4980,16.8,55,235,SMALL,22
4,276,357,15104,14706,14828,24.8,81,358,SMALL,42
5,282,380,4849,4435,4567,17.2,98,211,SMALL,22
6,286,403,17141,16705,16855,26.1,117,370,SMALL,46
7,391,533,2072,1498,1681,11.7,142,138,SMALL,13
8,644,787,7725,6900,7081,24.1,143,194,SMALL,37
9,742,931,1413,446,671,10.7,189,52,SMALL,13
10,900,1103,5290,4147,4390,24.0,203,135,SMALL,33
11,984,1220,15352,14106,14368,31.9,236,241,SMALL,60
12,1040,1297,20582,19255,19542,32.4,257,324,SMALL,61
13,1192,1445,19080,17593,17888,33.6,253,295,SMALL,61
14,1232,1526,19205,17651,17973,33.6,294,281,SMALL,64
15,1345,1665,2928,1226,1583,23.0,320,48,TINY,33
16,1405,1752,8908,7123,7503,33.1,347,123,SMALL,61
17,1420,1812,16558,14706,15138,35.3,392,230,SMALL,66
18,1455,1872,21260,19341,19805,34.3,417,317,SMALL,63
19,1545,1992,29792,27751,28247,31.8,447,498,SMALL,57
20,1618,2114,12844,10683,11226,35.6,496,176,SMALL,64
21,1659,2176,17212,14988,15553,35.7,517,237,SMALL,66
22,1729,2300,27566,25233,25837,32.7,571,422,SMALL,62
23,1737,2331,27616,25251,25879,32.7,594,423,SMALL,62
24,1857,2491,20213,17677,18356,35.7,634,272,SMALL,68
25,1979,2656,109720,107030,107741,23.5,677,2841,MEDiUM,38
26,2023,2722,98965,96204,96942,24.8,699,2386,MEDiUM,41
27,2326,3044,62129,59033,59803,27.7,718,1278,MEDiUM,47
28,2346,3112,117207,114051,114861,22.4,766,3230,MEDiUM,36
29,2373,3180,103327,100105,100954,24.4,807,2548,MEDiUM,40
30,2427,3284,117281,113947,114854,22.4,857,3235,MEDiUM,36
31,2662,3564,86185,82581,83523,25.8,902,1945,MEDiUM,43
32,2909,3844,110251,106361,107342,23.4,935,2850,MEDiUM,38
33,2918,3880,133283,129361,130365,17.1,962,4966,LARGE,27
34,3004,3989,121023,116991,118019,21.5,985,3466,MEDiUM,35
35,3195,4251,98775,94475,95580,24.8,1056,2350,MEDiUM,41
36,3465,4602,119486,114830,116021,21.8,1137,3355,MEDiUM,35
37,3822,5034,132940,127846,129118,17.6,1212,4799,LARGE,27
38,3890,5157,130905,125692,127015,18.9,1267,4355,LARGE,30
39,3931,5234,75598,70320,71667,26.5,1303,1603,MEDiUM,45
40,4010,5351,129566,124172,125556,19.3,1341,4203,LARGE,30
41,4101,5511,132043,126473,127942,18.4,1410,4519,LARGE,29
42,4123,5551,60627,55030,56504,27.6,1428,1186,MEDiUM,48
43,4239,5711,130940,125181,126701,18.8,1472,4348,LARGE,30
44,4295,5831,123366,117482,119071,20.8,1536,3633,MEDiUM,33
45,4734,6311,102050,95697,97316,24.3,1577,2442,MEDiUM,40
46,4737,6351,133308,126913,128571,16.9,1614,4964,LARGE,26
47,4806,6471,88195,81665,83389,25.5,1665,1979,MEDiUM,43
48,4825,6511,132079,125517,127254,18.3,1686,4511,LARGE,29
49,4955,6671,132100,125370,127145,18.3,1716,4519,LARGE,29
