pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times
0,73,73,151,42,78,1.5,0,75
1,110,152,2137,1947,1985,17.2,42,177
2,271,2138,2671,509,533,28.9,1867,183
3,279,299,432,105,133,4.0,20,127
4,285,2672,2848,147,176,36.0,2387,188
5,432,433,1554,1090,1121,16.3,1,150
6,461,10331,10771,399,440,55.0,9870,440
7,464,475,506,0,31,6.0,11,30
8,569,8630,9035,378,405,59.0,8061,406
9,599,6887,7209,294,322,64.0,6288,327
10,611,612,641,0,29,9.0,1,28
11,615,7534,7868,294,334,62.0,6919,339
12,622,4977,5282,273,305,70.0,4355,311
13,653,4691,4976,252,285,67.1,4038,292
14,702,3028,3212,147,184,44.3,2326,196
15,706,783,892,84,109,17.0,77,124
16,717,726,782,21,56,14.3,9,54
17,729,3896,4147,210,251,54.6,3167,260
18,737,4411,4690,252,279,61.6,3674,286
19,807,11672,12141,441,469,52.0,10865,467
20,811,4148,4410,231,262,59.5,3337,270
21,822,893,1014,84,121,20.5,71,136
22,834,3434,3662,189,228,49.7,2600,238
23,867,9891,10330,399,439,56.0,9024,439
24,880,9036,9457,399,421,58.0,8156,421
25,897,6222,6858,609,636,66.0,5325,326
26,931,5283,5590,273,307,69.0,4352,313
27,1002,1015,1045,0,30,21.0,13,29
28,1061,10772,11215,420,443,54.0,9711,442
29,1094,1109,1207,63,98,22.0,15,94
30,1195,2849,3027,147,178,41.0,1654,190
31,1197,7869,8243,336,374,61.0,6672,377
32,1202,1208,1242,0,34,24.0,6,33
33,1251,5901,6221,294,320,67.0,4650,325
34,1330,1348,1417,42,69,25.0,18,66
35,1589,1597,1623,0,26,24.0,8,25
36,1629,1645,1655,0,10,24.0,16,10
37,1752,1761,1816,21,55,24.0,9,53
38,1818,11216,11671,420,455,53.0,9398,454
39,1859,1859,1972,84,113,25.0,0,108
40,2167,8244,8629,357,385,60.0,6077,387
41,2193,2201,2337,105,136,26.3,8,130
42,2239,12142,12633,462,491,51.0,9903,488
43,2268,7210,7533,294,323,63.0,4942,328
44,2307,3213,3433,189,220,47.5,906,230
45,2433,2443,2499,21,56,28.3,10,54
46,2471,5591,5900,273,309,68.0,3120,315
47,2500,3663,3895,210,232,51.6,1163,241
48,2506,6243,6886,616,643,65.9,3737,326
49,2517,9458,9890,399,432,57.0,6941,432
50,2545,22404,23944,1512,1540,42.0,19859,1487
51,2624,25547,27157,1575,1610,40.0,22923,1554
52,2669,20876,22403,1491,1527,43.0,18207,1475
53,2678,57482,60523,3003,3041,26.0,54804,2917
54,2699,30882,32860,1953,1978,37.0,28183,1904
55,2725,39135,41438,2268,2303,33.0,36410,2214
56,2736,19438,20875,1407,1437,44.0,16702,1389
57,2838,107323,111583,4221,4260,12.0,104485,4078
58,2846,103124,107322,4158,4198,13.0,100278,4019
59,2876,36977,39134,2121,2157,34.0,34101,2075
60,2898,69738,72855,3087,3117,22.0,66840,2989
61,2923,72856,76016,3129,3160,21.0,69933,3030
62,2951,148329,153145,4788,4816,3.0,145378,4607
63,2952,17006,18198,1155,1192,46.0,14054,1156
64,3016,134058,138791,4704,4733,6.0,131042,4528
65,3063,51578,54473,2856,2895,28.0,48515,2778
66,3153,41439,43747,2268,2308,32.0,38286,2219
67,3173,76017,79283,3234,3266,20.0,72844,3131
68,3230,12634,13682,1008,1048,50.0,9404,1019
69,3250,82999,86941,3906,3942,18.0,79749,3775
70,3317,153146,158109,4935,4963,2.0,149829,4747
71,3365,90886,94852,3927,3966,16.0,87521,3798
72,3465,14772,15877,1071,1105,48.0,11307,1073
73,3522,143528,148328,4767,4800,4.0,140006,4592
74,3581,94853,98974,4095,4121,15.0,91272,3945
75,3688,120305,124851,4515,4546,9.0,116617,4350
76,3792,79284,82998,3675,3714,19.0,75492,3558
77,3825,66649,69737,3066,3088,23.0,62824,2961
78,3916,27158,28988,1806,1830,39.0,23242,1763
79,4004,54474,57481,2982,3007,27.0,50470,2884
80,4038,18199,19437,1197,1238,45.0,14161,1200
81,4042,32861,34901,2016,2040,36.0,28819,1963
82,4085,111584,115845,4221,4261,11.0,107499,4079
83,4110,34902,36976,2037,2074,35.0,30792,1996
84,4153,46167,48774,2583,2607,30.0,42014,2503
85,4178,15878,17005,1092,1127,47.0,11700,1094
86,4262,60524,63572,3024,3048,25.0,56262,2923
87,4358,43748,46166,2394,2418,31.0,39390,2323
88,4523,13683,14771,1050,1088,49.0,9160,1057
89,4534,63573,66648,3045,3075,24.0,59039,2949
90,4581,158110,163106,4956,4996,1.0,153529,4779
91,4680,138792,143527,4704,4735,5.0,134112,4530
92,4695,129443,134057,4578,4614,7.0,124748,4415
93,4720,86942,90885,3906,3943,17.0,82222,3776
94,4772,98975,103123,4116,4148,14.0,94203,3971
95,4821,115846,120304,4431,4458,10.0,111025,4266
96,4825,48775,51577,2772,2802,29.0,43950,2689
97,4906,124852,129442,4557,4590,8.0,119946,4392
98,4913,23945,25546,1575,1601,41.0,19032,1545
99,4933,28989,30881,1869,1892,38.0,24056,1822
