pids,instantiation times,start times,finish times,average wait times,turnaround times,average queue lengths,response times,required cpu times,process sizes,turnaround times,efficiency,average response time,average queue length
0,41,42,77,692.5869994058229,36,0.0,1,34,TINY,2,0.7987407996064407,3.192,138
2,136,141,268,692.5869994058229,132,1.0,5,87,SMALL,2,,,
3,743,763,812,692.5869994058229,69,1.0,20,45,TINY,2,,,
1,75,78,1029,692.5869994058229,954,0.1,3,766,LARGE,2,,,
4,1309,1310,1353,692.5869994058229,44,0.0,1,41,TINY,2,,,
8,1597,1600,1623,692.5869994058229,26,3.0,3,20,TINY,2,,,
5,1500,1501,1680,692.5869994058229,180,0.7,1,56,SMALL,4,,,
7,1556,1565,1698,692.5869994058229,142,1.8,9,50,TINY,3,,,
6,1535,1543,1749,692.5869994058229,214,1.0,8,99,SMALL,3,,,
13,2103,2104,2131,692.5869994058229,28,4.0,1,22,TINY,2,,,
11,1929,1935,2278,692.5869994058229,349,3.0,6,104,SMALL,4,,,
10,1873,1880,2293,692.5869994058229,420,2.3,7,112,SMALL,4,,,
16,2820,2825,2883,692.5869994058229,63,4.0,5,47,TINY,2,,,
19,3814,3816,3835,692.5869994058229,21,6.0,2,16,TINY,2,,,
26,4571,4576,4648,692.5869994058229,77,12.0,5,58,SMALL,2,,,
27,4775,4779,4840,692.5869994058229,65,12.0,4,49,TINY,2,,,
37,6887,6891,7025,692.5869994058229,138,21.0,4,108,SMALL,2,,,
39,7313,7316,7373,692.5869994058229,60,22.0,3,46,TINY,2,,,
44,7899,7904,8013,692.5869994058229,114,26.0,5,68,SMALL,2,,,
33,6015,6016,8655,692.5869994058229,2640,19.0,1,169,SMALL,16,,,
41,7597,7599,8685,692.5869994058229,1088,24.0,2,172,SMALL,7,,,
46,9136,9141,9164,692.5869994058229,28,25.0,5,19,TINY,2,,,
48,9847,9850,9888,692.5869994058229,41,26.0,3,31,TINY,2,,,
50,10373,10374,10427,692.5869994058229,54,27.0,1,43,TINY,2,,,
53,11795,11798,11852,692.5869994058229,57,29.0,3,44,TINY,2,,,
56,12592,12593,12640,692.5869994058229,48,31.0,1,38,TINY,2,,,
57,12656,12661,12703,692.5869994058229,47,31.0,5,34,TINY,2,,,
58,13213,13214,13235,692.5869994058229,22,31.0,1,17,TINY,2,,,
59,13467,13471,13540,692.5869994058229,73,31.0,4,56,SMALL,2,,,
63,14633,14636,14678,692.5869994058229,45,34.0,3,34,TINY,2,,,
64,15006,15009,15176,692.5869994058229,170,34.0,3,134,SMALL,2,,,
20,3898,3901,15186,692.5869994058229,11288,13.2,3,280,LARGE,41,,,
65,15224,15227,15484,692.5869994058229,260,33.0,3,206,LARGE,2,,,
21,4199,4201,15779,692.5869994058229,11580,18.9,2,288,LARGE,41,,,
67,15796,15800,16363,692.5869994058229,567,34.1,4,95,SMALL,6,,,
70,16146,16150,16717,692.5869994058229,571,35.6,4,163,SMALL,4,,,
72,16892,16898,18311,692.5869994058229,1419,37.3,6,191,SMALL,8,,,
74,17387,17388,18344,692.5869994058229,957,39.1,1,194,SMALL,5,,,
81,18884,18885,19392,692.5869994058229,508,43.0,1,138,SMALL,4,,,
85,20042,20043,20074,692.5869994058229,32,46.0,1,25,TINY,2,,,
88,20286,20290,20313,692.5869994058229,27,48.0,4,19,TINY,2,,,
