pids,instantiation times,start times,finish times,average wait times,turnaround times,average queue lengths,response times,required cpu times,process sizes,turnaround times,efficiency,average response time,average queue length
1,475,521,535,85.17137538229689,60,2.0,46,14,TINY,5,0.9486151354064475,1393.196,113
0,197,198,975,85.17137538229689,778,1.0,1,733,LARGE,2,,,
2,1109,1110,1122,85.17137538229689,13,1.0,1,12,TINY,2,,,
3,1157,1158,1227,85.17137538229689,70,1.0,1,66,SMALL,2,,,
4,1767,1768,2427,85.17137538229689,660,1.7,1,352,LARGE,2,,,
6,2250,2258,2737,85.17137538229689,487,3.3,8,147,SMALL,4,,,
9,2831,2842,2896,85.17137538229689,65,5.0,11,32,TINY,3,,,
15,3756,3763,3786,85.17137538229689,30,9.0,7,22,TINY,2,,,
11,2948,2991,3796,85.17137538229689,848,5.8,43,119,SMALL,8,,,
16,3807,3849,3896,85.17137538229689,89,8.0,42,45,TINY,2,,,
22,5317,5356,5392,85.17137538229689,75,13.0,39,35,TINY,3,,,
12,3196,3210,6048,85.17137538229689,2852,8.9,14,298,LARGE,10,,,
27,6099,6101,6160,85.17137538229689,61,16.3,2,57,SMALL,2,,,
20,4944,4970,6745,85.17137538229689,1801,13.0,26,111,SMALL,17,,,
21,5182,5189,7050,85.17137538229689,1868,14.1,7,153,SMALL,13,,,
33,7557,7594,7610,85.17137538229689,53,19.0,37,16,TINY,4,,,
26,5880,5894,7905,85.17137538229689,2025,16.2,14,112,SMALL,19,,,
36,8596,8624,8690,85.17137538229689,94,20.0,28,43,TINY,3,,,
34,7638,7684,8787,85.17137538229689,1149,19.0,46,103,SMALL,12,,,
38,8926,8955,8975,85.17137538229689,49,20.0,29,20,TINY,3,,,
39,9007,9028,9120,85.17137538229689,113,21.0,21,48,TINY,3,,,
29,7010,7051,10252,85.17137538229689,3242,18.8,41,175,SMALL,19,,,
30,7053,7093,10262,85.17137538229689,3209,18.9,40,169,SMALL,19,,,
7,2318,2321,10750,85.17137538229689,8432,10.6,3,684,LARGE,13,,,
44,10359,10772,10784,85.17137538229689,425,23.0,413,12,TINY,36,,,
50,11563,11614,11700,85.17137538229689,137,27.0,51,22,TINY,7,,,
49,11513,11572,11703,85.17137538229689,190,26.3,59,42,TINY,5,,,
19,4800,4834,11766,85.17137538229689,6966,17.1,34,340,LARGE,21,,,
8,2623,2636,12094,85.17137538229689,9471,12.1,13,624,LARGE,16,,,
53,12164,12199,12209,85.17137538229689,45,25.0,35,10,TINY,5,,,
57,12682,12711,12740,85.17137538229689,58,28.0,29,28,TINY,3,,,
32,7528,7552,12794,85.17137538229689,5266,20.8,24,221,LARGE,24,,,
58,13138,13159,13195,85.17137538229689,57,27.5,21,35,TINY,2,,,
59,13173,13196,13240,85.17137538229689,67,27.0,23,42,TINY,2,,,
51,11605,11677,13265,85.17137538229689,1660,25.8,72,84,SMALL,20,,,
42,9554,9569,13924,85.17137538229689,4370,23.2,15,193,SMALL,23,,,
55,12461,12481,14075,85.17137538229689,1614,26.2,20,94,SMALL,18,,,
23,5531,5549,14323,85.17137538229689,8792,19.7,18,398,LARGE,23,,,
45,10484,10911,14435,85.17137538229689,3951,24.0,427,117,SMALL,34,,,
5,1975,1987,14850,85.17137538229689,12875,11.2,12,948,LARGE,14,,,
66,15152,15174,15191,85.17137538229689,39,27.0,22,17,TINY,3,,,
67,15451,15452,15479,85.17137538229689,28,27.5,1,26,TINY,2,,,
61,13955,13977,15666,85.17137538229689,1711,26.5,22,68,SMALL,26,,,
17,4686,4729,15741,85.17137538229689,11055,18.7,43,492,LARGE,23,,,
74,16156,16212,16265,85.17137538229689,109,31.0,56,31,TINY,4,,,
47,11380,11436,16316,85.17137538229689,4936,24.9,56,189,SMALL,27,,,
77,17174,17223,17273,85.17137538229689,99,32.0,49,48,TINY,3,,,
63,14554,14592,18273,85.17137538229689,3719,27.8,38,140,SMALL,27,,,
81,18551,18586,18603,85.17137538229689,52,35.0,35,17,TINY,4,,,
83,18614,18646,18711,85.17137538229689,97,35.0,32,42,TINY,3,,,
60,13719,13734,19058,85.17137538229689,5339,28.8,15,193,SMALL,28,,,
78,17660,17690,19789,85.17137538229689,2129,33.0,30,81,SMALL,27,,,
46,10622,11079,20063,85.17137538229689,9441,27.4,457,273,LARGE,35,,,
25,5802,5831,20927,85.17137538229689,15125,23.6,29,542,LARGE,28,,,
90,20518,21264,22174,85.17137538229689,1656,46.0,746,27,TINY,62,,,
14,3455,3492,22208,85.17137538229689,18753,20.6,37,822,LARGE,23,,,
92,20630,21411,22317,85.17137538229689,1687,46.0,781,23,TINY,74,,,
96,21083,21957,22596,85.17137538229689,1513,46.5,874,25,TINY,61,,,
103,22613,22849,22867,85.17137538229689,254,47.0,236,18,TINY,15,,,
100,21815,22528,22962,85.17137538229689,1147,47.3,713,50,TINY,23,,,
107,22896,23068,23085,85.17137538229689,189,50.0,172,17,TINY,12,,,
106,22864,23026,23179,85.17137538229689,315,50.0,162,29,TINY,11,,,
109,22983,23128,23229,85.17137538229689,246,49.0,145,27,TINY,10,,,
105,22849,23005,23243,85.17137538229689,394,49.0,156,53,SMALL,8,,,
110,23169,23244,23311,85.17137538229689,142,47.0,75,44,TINY,4,,,
28,6134,6161,24185,85.17137538229689,18051,26.0,27,588,LARGE,31,,,
114,24318,24342,24443,85.17137538229689,125,50.0,24,57,SMALL,3,,,
69,15585,15595,24938,85.17137538229689,9353,37.5,10,254,LARGE,37,,,
119,25289,25324,25372,85.17137538229689,83,52.0,35,26,TINY,4,,,
97,21219,22104,25903,85.17137538229689,4684,48.5,885,90,SMALL,53,,,
121,25883,25904,25955,85.17137538229689,72,52.7,21,49,TINY,2,,,
123,25939,25977,26068,85.17137538229689,129,53.3,38,47,TINY,3,,,
126,26113,26174,26239,85.17137538229689,126,56.0,61,22,TINY,6,,,
111,23441,23468,27173,85.17137538229689,3732,52.6,27,104,SMALL,36,,,
135,27242,27289,27311,85.17137538229689,69,62.0,47,21,TINY,4,,,
137,27560,27583,27611,85.17137538229689,51,63.0,23,27,TINY,2,,,
65,14938,14955,27815,85.17137538229689,12877,39.3,17,305,LARGE,43,,,
10,2836,2863,27961,85.17137538229689,25125,22.4,27,970,LARGE,26,,,
139,28142,28170,28200,85.17137538229689,58,62.0,28,29,TINY,2,,,
140,28313,28357,28406,85.17137538229689,93,62.0,44,47,TINY,2,,,
13,3366,3377,28477,85.17137538229689,25111,23.0,11,898,LARGE,28,,,
18,4731,4771,28830,85.17137538229689,24099,26.5,40,759,LARGE,32,,,
79,17735,17753,28983,85.17137538229689,11248,43.3,18,267,LARGE,43,,,
118,25284,25303,29118,85.17137538229689,3834,53.5,19,90,SMALL,43,,,
88,20171,20904,29295,85.17137538229689,9124,48.8,733,119,SMALL,77,,,
91,20567,21327,29474,85.17137538229689,8907,50.0,760,121,SMALL,74,,,
133,26998,27013,30289,85.17137538229689,3291,60.8,15,80,SMALL,42,,,
108,22923,23086,31432,85.17137538229689,8509,54.7,163,138,SMALL,62,,,
48,11511,11551,31612,85.17137538229689,20101,38.1,40,451,LARGE,45,,,
37,8801,8840,31631,85.17137538229689,22830,34.2,39,568,LARGE,41,,,
