pids,,instantiation times,,start times,,finish times,,total wait times,,turnaround times,,average queue lengths,,response times,,required cpu times,,process sizes,,turnaround times,,throughput,,average response time,,average queue length,
1,,159,,190,,256,,64,,97,,2.0,,31,,23,,TINY,,5,,0.9504883457182999,,4153.996,,215,
0,,105,,106,,312,,723,,207,,0.9,,1,,133,,SMALL,,2,,,,,,,
5,,323,,397,,574,,169,,251,,8.5,,74,,29,,TINY,,9,,,,,,,
3,,297,,334,,581,,316,,284,,6.7,,37,,46,,TINY,,7,,,,,,,
14,,582,,813,,826,,0,,244,,13.0,,231,,13,,TINY,,19,,,,,,,
2,,182,,232,,908,,1188,,726,,6.3,,50,,138,,SMALL,,6,,,,,,,
8,,386,,523,,996,,545,,610,,13.3,,137,,43,,TINY,,15,,,,,,,
16,,607,,869,,1194,,318,,587,,20.0,,262,,28,,TINY,,21,,,,,,,
11,,479,,645,,1224,,646,,745,,17.0,,166,,48,,TINY,,16,,,,,,,
4,,313,,376,,1833,,1830,,1520,,16.8,,63,,120,,SMALL,,13,,,,,,,
25,,1025,,1393,,1961,,568,,936,,31.5,,368,,21,,TINY,,45,,,,,,,
26,,1025,,1414,,1964,,549,,939,,31.0,,389,,22,,TINY,,43,,,,,,,
30,,1084,,1561,,2187,,615,,1103,,36.5,,477,,32,,TINY,,35,,,,,,,
31,,1096,,1582,,2206,,607,,1110,,36.0,,486,,38,,TINY,,30,,,,,,,
22,,920,,1225,,2378,,1225,,1458,,33.7,,305,,43,,TINY,,34,,,,,,,
43,,1812,,2463,,2481,,0,,669,,46.0,,651,,18,,TINY,,38,,,,,,,
13,,568,,771,,2704,,2264,,2136,,28.4,,203,,92,,SMALL,,24,,,,,,,
40,,1657,,2270,,3187,,898,,1530,,51.0,,613,,40,,TINY,,39,,,,,,,
47,,1908,,2629,,3662,,1022,,1754,,59.5,,721,,32,,TINY,,55,,,,,,,
37,,1454,,2007,,3794,,1857,,2340,,53.0,,553,,45,,TINY,,52,,,,,,,
85,,3448,,4845,,4861,,0,,1413,,107.0,,1397,,16,,TINY,,89,,,,,,,
44,,1881,,2545,,4918,,2434,,3037,,73.3,,664,,54,,SMALL,,57,,,,,,,
68,,2826,,3879,,5474,,1587,,2648,,97.5,,1053,,29,,TINY,,92,,,,,,,
99,,4070,,5727,,5743,,0,,1673,,121.0,,1657,,16,,TINY,,105,,,,,,,
100,,4073,,5744,,5758,,0,,1685,,120.0,,1671,,14,,TINY,,121,,,,,,,
71,,2975,,4089,,5767,,1671,,2792,,100.0,,1114,,28,,TINY,,100,,,,,,,
18,,816,,1081,,5861,,5164,,5045,,58.3,,265,,109,,SMALL,,47,,,,,,,
105,,4169,,5904,,5922,,0,,1753,,121.0,,1735,,18,,TINY,,98,,,,,,,
55,,2162,,3041,,5974,,2999,,3812,,87.3,,879,,49,,TINY,,78,,,,,,,
114,,4402,,6311,,6323,,0,,1921,,131.0,,1909,,12,,TINY,,161,,,,,,,
117,,4515,,6492,,6504,,0,,1989,,132.0,,1977,,12,,TINY,,166,,,,,,,
78,,3276,,4530,,6524,,1976,,3248,,114.0,,1254,,39,,TINY,,84,,,,,,,
88,,3624,,5066,,7303,,2237,,3679,,128.0,,1442,,21,,TINY,,176,,,,,,,
144,,5577,,8039,,8057,,0,,2480,,165.0,,2462,,18,,TINY,,138,,,,,,,
38,,1501,,2091,,8128,,6373,,6627,,91.8,,590,,87,,SMALL,,77,,,,,,,
147,,5856,,8318,,8330,,0,,2474,,173.0,,2462,,12,,TINY,,207,,,,,,,
149,,5963,,8436,,8452,,0,,2489,,177.0,,2473,,16,,TINY,,156,,,,,,,
108,,4216,,6017,,8541,,2521,,4325,,150.0,,1801,,24,,TINY,,181,,,,,,,
58,,2277,,3188,,9017,,5928,,6740,,116.5,,911,,73,,SMALL,,93,,,,,,,
