pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times,process sizes,turnaround times,throughput,average response time,average queue length
1,345,362,509,205,164,2.1,17,135,SMALL,2,0.3463859336415455,96034.044,77
2,493,510,605,135,112,2.2,17,87,SMALL,2,,,
4,735,738,1295,5065,560,3.3,3,502,LARGE,2,,,
6,1277,1296,1316,0,39,4.0,19,20,TINY,2,,,
8,1608,1616,1641,40,33,5.0,8,22,TINY,2,,,
7,1309,1317,1689,2085,380,4.0,8,301,LARGE,2,,,
10,1851,1869,1883,0,32,5.0,18,14,TINY,3,,,
0,318,320,2297,9132,1979,4.1,2,673,LARGE,3,,,
14,2288,2298,2314,0,26,7.0,10,16,TINY,2,,,
15,2365,2387,2497,143,132,7.0,22,94,SMALL,2,,,
17,2893,2906,2961,70,68,8.0,13,45,TINY,2,,,
12,2048,2315,3095,5277,1047,6.3,267,513,LARGE,3,,,
18,3318,3336,3409,111,91,7.0,18,61,SMALL,2,,,
19,3721,3722,3759,41,38,7.0,1,33,TINY,2,,,
9,1791,3096,3837,5606,2046,6.0,1305,525,LARGE,4,,,
20,3881,3884,3937,68,56,6.3,3,45,TINY,2,,,
22,4031,4034,4087,68,56,7.0,3,45,TINY,2,,,
24,4152,4160,4222,70,70,8.3,8,52,SMALL,2,,,
27,4345,4348,4454,151,109,10.0,3,82,SMALL,2,,,
26,4283,4298,4598,357,315,9.0,15,158,SMALL,2,,,
25,4194,4223,4868,1037,674,9.1,29,274,LARGE,3,,,
30,5148,5169,5180,0,32,10.0,21,11,TINY,3,,,
5,1169,3838,5493,8811,4324,8.2,2669,672,LARGE,7,,,
32,5974,5994,6048,72,74,10.3,20,42,TINY,2,,,
31,5730,5744,6355,2384,625,9.8,14,440,LARGE,2,,,
35,6342,6356,6387,43,45,11.0,14,25,TINY,2,,,
33,6028,6388,6970,5034,942,10.7,360,450,LARGE,3,,,
39,7335,7338,7376,44,41,13.0,3,31,TINY,2,,,
38,7255,7257,7678,2128,423,12.3,2,284,LARGE,2,,,
29,4705,5494,8068,10191,3363,10.7,789,710,LARGE,5,,,
42,8008,8069,8130,74,122,13.0,61,47,TINY,3,,,
43,8218,8239,8330,120,112,13.0,21,70,SMALL,2,,,
41,7823,8131,8668,2241,845,12.1,308,333,LARGE,3,,,
40,7555,8669,9134,2164,1579,14.6,1114,338,LARGE,5,,,
46,8694,9135,9719,2343,1025,15.3,441,413,LARGE,3,,,
51,9874,9892,9957,78,83,17.3,18,47,TINY,2,,,
54,10084,10104,10300,254,216,19.3,20,135,SMALL,2,,,
56,10296,10301,10405,132,109,20.0,5,71,SMALL,2,,,
45,8686,9720,10710,2782,2024,17.9,1034,421,LARGE,5,,,
59,10752,10772,10812,48,60,21.0,20,29,TINY,3,,,
58,10717,10741,10859,123,142,20.0,24,55,SMALL,3,,,
55,10240,10711,11302,2289,1062,19.4,471,316,LARGE,4,,,
60,11074,11303,11520,287,446,19.4,229,145,SMALL,4,,,
61,11433,11521,11656,167,223,19.0,88,95,SMALL,3,,,
62,11765,11777,11977,253,212,19.1,12,140,SMALL,2,,,
63,11944,11978,12023,48,79,20.0,34,34,TINY,3,,,
65,12170,12174,12215,48,45,20.0,4,30,TINY,2,,,
66,12286,12306,12348,48,62,20.0,20,31,TINY,2,,,
53,10054,11657,12506,2567,2452,18.8,1603,347,LARGE,8,,,
67,12518,12537,12571,47,53,19.0,19,24,TINY,3,,,
68,12789,12812,12855,47,66,19.0,23,33,TINY,2,,,
49,9384,12507,13231,2502,3847,18.3,3123,435,LARGE,9,,,
70,13197,13232,13877,2435,680,19.6,35,423,LARGE,2,,,
48,9287,13878,14557,5125,5270,19.2,4591,456,LARGE,12,,,
72,14425,14558,14808,325,383,19.1,133,170,SMALL,3,,,
73,14772,14809,14829,0,57,20.0,37,20,TINY,3,,,
75,15029,15040,15165,171,136,20.0,11,81,SMALL,2,,,
74,14803,14830,15530,2440,727,19.1,27,383,LARGE,2,,,
76,15471,15531,15600,80,129,19.0,60,49,TINY,3,,,
77,15676,15691,15770,80,94,19.0,15,59,SMALL,2,,,
52,9925,15601,16375,5252,6450,18.5,5676,464,LARGE,14,,,
71,13475,16376,17116,5228,3641,19.6,2901,488,LARGE,8,,,
81,16844,17117,17386,338,542,22.1,273,176,SMALL,4,,,
83,17183,17387,17946,2269,763,22.9,204,355,LARGE,3,,,
87,18005,18011,18057,50,52,24.0,6,33,TINY,2,,,
86,17991,18058,18108,49,117,23.0,67,38,TINY,4,,,
88,18290,18301,18336,49,46,23.0,11,23,TINY,2,,,
89,18355,18369,18411,49,56,23.5,14,30,TINY,2,,,
92,18448,18477,18488,0,40,25.0,29,11,TINY,4,,,
91,18416,18444,18530,98,114,24.0,28,48,TINY,3,,,
64,11967,17947,19003,5540,7036,23.3,5980,492,LARGE,15,,,
94,18922,19004,19107,138,185,24.5,82,64,SMALL,3,,,
99,19339,19345,19389,52,50,28.0,6,29,TINY,2,,,
100,19516,19526,19600,90,84,28.0,10,44,TINY,2,,,
93,18580,19108,19681,967,1101,26.5,528,272,LARGE,5,,,
101,19816,19818,19896,88,80,27.3,2,50,TINY,2,,,
102,19864,19897,19941,51,77,27.5,33,30,TINY,3,,,
82,17008,19682,20649,5447,3641,27.9,2674,496,LARGE,8,,,
108,20604,20650,20724,92,120,31.3,46,42,TINY,3,,,
110,20775,20797,20910,150,135,32.0,22,62,SMALL,3,,,
104,20394,20725,21151,492,757,31.7,331,179,SMALL,5,,,
113,21219,21224,21301,94,82,33.0,5,43,TINY,2,,,
114,21507,21524,21579,54,72,33.0,17,38,TINY,2,,,
112,21191,21302,21667,437,476,32.2,111,173,SMALL,3,,,
116,22068,22075,22124,54,56,33.5,7,32,TINY,2,,,
117,22093,22125,22203,95,110,33.7,32,43,TINY,3,,,
111,20934,21152,22396,2967,1462,32.4,218,365,LARGE,5,,,
