pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times,process sizes,turnaround times,throughput,average response time,average queue length
0,11,12,41,29,30,0.0,1,28,TINY,2,0.7988567372458997,3.35,186
1,34,42,89,55,55,0.0,8,45,TINY,2,,,
41,886,891,1835,967,949,43.8,5,24,TINY,40,,,
13,359,366,2744,2403,2385,28.1,7,27,TINY,89,,,
106,3428,3430,3561,152,133,103.0,2,17,TINY,8,,,
109,3582,3587,3600,23,18,104.0,5,11,TINY,2,,,
111,3630,3631,3678,67,48,105.6,1,18,TINY,3,,,
115,3775,3779,3803,42,28,108.0,4,20,TINY,2,,,
127,4077,4079,4138,75,61,119.2,2,16,TINY,4,,,
164,5338,5339,5373,50,35,155.5,1,16,TINY,3,,,
160,5197,5199,5426,247,229,152.4,2,18,TINY,13,,,
166,5443,5447,5480,50,37,155.2,4,15,TINY,3,,,
157,5162,5169,5614,469,452,152.7,7,23,TINY,20,,,
171,5627,5630,5653,42,26,158.0,3,19,TINY,2,,,
182,6108,6114,6181,87,73,168.2,6,18,TINY,5,,,
185,6196,6197,6224,38,28,170.7,1,10,TINY,3,,,
184,6185,6187,6304,135,119,170.4,2,20,TINY,6,,,
165,5346,5349,6406,1084,1060,158.0,3,25,TINY,43,,,
193,6513,6517,6544,38,31,175.0,4,10,TINY,4,,,
11,306,311,6769,6486,6463,44.6,5,32,TINY,202,,,
30,681,686,6856,6201,6175,61.4,5,29,TINY,213,,,
104,3389,3390,7361,3999,3972,116.1,1,32,TINY,125,,,
202,7429,7432,7476,67,47,180.0,3,24,TINY,2,,,
135,4441,4444,7590,3175,3149,137.5,3,31,TINY,102,,,
207,7765,7766,7799,58,34,183.0,1,27,TINY,2,,,
155,5154,5159,7826,2698,2672,158.1,5,29,TINY,93,,,
158,5172,5174,7833,2690,2661,158.8,2,29,TINY,92,,,
209,7836,7839,7891,63,55,183.3,3,10,TINY,6,,,
212,7877,7879,7984,131,107,184.3,2,26,TINY,5,,,
219,8299,8300,8353,70,54,190.5,1,15,TINY,4,,,
217,8275,8280,8406,152,131,189.9,5,26,TINY,6,,,
210,7843,7844,8689,875,846,185.4,1,30,TINY,29,,,
229,8749,8750,8867,143,118,198.0,1,26,TINY,5,,,
234,8933,8938,8954,35,21,201.0,5,13,TINY,2,,,
233,8914,8918,8967,75,53,200.0,4,26,TINY,3,,,
17,473,476,9226,8781,8753,68.8,3,35,TINY,251,,,
240,9346,9347,9360,23,14,204.0,1,11,TINY,2,,,
253,9866,9871,9938,97,72,216.0,5,30,TINY,3,,,
259,10045,10049,10202,177,157,222.3,4,23,TINY,7,,,
271,10447,10448,10605,177,158,233.6,1,18,TINY,9,,,
273,10493,10498,10799,325,306,235.5,5,23,TINY,14,,,
266,10389,10393,10927,560,538,229.1,4,26,TINY,21,,,
269,10432,10438,10971,558,539,234.6,6,27,TINY,20,,,
280,10770,10771,11013,269,243,240.3,1,25,TINY,10,,,
298,11759,11764,11796,50,37,255.0,5,14,TINY,3,,,
