pids,instantiation times,start times,finish times,average wait times,turnaround times,average queue lengths,response times,required cpu times,process sizes,turnaround times,efficiency,average response time,average queue length
0,412,413,578,671.9612848330142,166,1.1,1,159,SMALL,2,0.9380304172393916,29.704,29
1,551,579,710,671.9612848330142,159,1.0,28,126,SMALL,2,,,
2,875,876,923,671.9612848330142,48,1.0,1,45,TINY,2,,,
3,974,975,1042,671.9612848330142,68,1.0,1,64,SMALL,2,,,
9,1385,1464,1658,671.9612848330142,273,7.7,79,45,TINY,7,,,
11,1500,1590,1664,671.9612848330142,164,7.5,90,25,TINY,7,,,
10,1424,1506,2057,671.9612848330142,633,7.2,82,107,SMALL,6,,,
7,1357,1401,2367,671.9612848330142,1010,6.8,44,137,SMALL,8,,,
12,1945,1946,2427,671.9612848330142,482,7.0,1,67,SMALL,8,,,
15,2494,2532,2592,671.9612848330142,98,7.0,38,58,SMALL,2,,,
8,1371,1443,2819,671.9612848330142,1448,7.0,72,167,SMALL,9,,,
13,2081,2110,2882,671.9612848330142,801,6.7,29,120,SMALL,7,,,
16,2590,2593,2890,671.9612848330142,300,6.5,3,67,SMALL,5,,,
19,3051,3069,3747,671.9612848330142,696,9.8,18,110,SMALL,7,,,
22,3135,3216,3964,671.9612848330142,829,10.4,81,108,SMALL,8,,,
17,2889,2891,4137,671.9612848330142,1248,7.7,2,126,SMALL,10,,,
18,2918,2954,4165,671.9612848330142,1247,7.8,36,137,SMALL,10,,,
23,3618,3633,4257,671.9612848330142,639,9.8,15,98,SMALL,7,,,
26,4360,4373,4408,671.9612848330142,48,9.0,13,34,TINY,2,,,
27,4422,4461,4513,671.9612848330142,91,9.0,39,50,TINY,2,,,
21,3129,3174,4524,671.9612848330142,1395,10.0,45,120,SMALL,12,,,
14,2165,2173,4700,671.9612848330142,2535,7.8,8,279,LARGE,10,,,
28,4731,4753,4775,671.9612848330142,44,7.0,22,21,TINY,3,,,
5,1253,1296,5012,671.9612848330142,3759,7.2,43,366,LARGE,11,,,
25,4293,4310,5194,671.9612848330142,901,7.2,17,135,SMALL,7,,,
29,4807,4828,5240,671.9612848330142,433,6.6,21,104,SMALL,5,,,
32,5711,5720,5761,671.9612848330142,50,7.0,9,40,TINY,2,,,
4,1180,1181,5768,671.9612848330142,4588,5.8,1,566,LARGE,9,,,
30,4875,4891,5839,671.9612848330142,964,6.1,16,178,SMALL,6,,,
31,5610,5657,6167,671.9612848330142,557,5.0,47,125,SMALL,5,,,
36,6816,6825,6842,671.9612848330142,26,7.0,9,17,TINY,2,,,
33,6465,6480,7492,671.9612848330142,1027,5.2,15,185,SMALL,6,,,
24,3698,3748,7536,671.9612848330142,3838,5.8,50,652,LARGE,6,,,
34,6588,6595,7551,671.9612848330142,963,5.4,7,174,SMALL,6,,,
35,6734,6762,7700,671.9612848330142,966,5.6,28,203,LARGE,5,,,
6,1294,1317,7954,671.9612848330142,6660,5.7,23,922,LARGE,8,,,
