pids,instantiation times,start times,finish times,average wait times,turnaround times,average queue lengths,response times,required cpu times,process sizes,turnaround times,efficiency,average response time,average queue length
0,412,413,579,618.804190751445,167,0.1,1,159,SMALL,2,0.9319723695571728,627.36,30
1,551,580,712,618.804190751445,161,0.0,29,126,SMALL,2,,,
2,875,876,923,618.804190751445,48,0.0,1,45,TINY,2,,,
3,974,975,1042,618.804190751445,68,0.0,1,64,SMALL,2,,,
9,1385,1496,1816,618.804190751445,431,6.7,111,45,TINY,10,,,
11,1500,1664,1822,618.804190751445,322,6.5,164,25,TINY,13,,,
10,1424,1559,2313,618.804190751445,889,6.7,135,107,SMALL,9,,,
7,1357,1433,2331,618.804190751445,974,6.4,76,137,SMALL,8,,,
12,1945,2075,2549,618.804190751445,604,6.8,130,67,SMALL,10,,,
8,1371,1475,2683,618.804190751445,1312,6.6,104,167,SMALL,8,,,
15,2494,2634,2954,618.804190751445,460,7.0,140,58,SMALL,8,,,
13,2081,2243,2996,618.804190751445,915,6.5,162,120,SMALL,8,,,
16,2590,2726,3172,618.804190751445,582,7.0,136,67,SMALL,9,,,
5,1253,1286,4040,618.804190751445,2787,6.7,33,366,LARGE,8,,,
17,2889,3039,4278,618.804190751445,1389,9.1,150,126,SMALL,12,,,
19,3051,3194,4289,618.804190751445,1238,9.5,143,110,SMALL,12,,,
18,2918,3102,4391,618.804190751445,1473,9.6,184,137,SMALL,11,,,
21,3129,3320,4454,618.804190751445,1325,10.0,191,120,SMALL,12,,,
22,3135,3341,4463,618.804190751445,1328,9.8,206,108,SMALL,13,,,
23,3618,3845,4671,618.804190751445,1053,9.0,227,98,SMALL,11,,,
14,2165,2332,4754,618.804190751445,2589,8.1,167,279,LARGE,10,,,
26,4360,4569,4769,618.804190751445,409,7.5,209,34,TINY,13,,,
27,4422,4632,4990,618.804190751445,568,7.7,210,50,TINY,12,,,
28,4731,4896,5076,618.804190751445,345,7.5,165,21,TINY,17,,,
4,1180,1181,5104,618.804190751445,3924,6.0,1,566,LARGE,7,,,
25,4293,4485,5393,618.804190751445,1100,6.3,192,135,SMALL,9,,,
29,4807,4959,5587,618.804190751445,780,5.2,152,104,SMALL,8,,,
32,5711,5819,5965,618.804190751445,254,5.0,108,40,TINY,7,,,
30,4875,5054,6005,618.804190751445,1130,4.8,179,178,SMALL,7,,,
31,5610,5714,6326,618.804190751445,716,3.7,104,125,SMALL,6,,,
36,6816,6957,6974,618.804190751445,158,6.0,141,17,TINY,10,,,
6,1294,1349,7523,618.804190751445,6229,5.6,55,922,LARGE,7,,,
33,6465,6537,7592,618.804190751445,1127,4.6,72,185,SMALL,7,,,
34,6588,6684,7649,618.804190751445,1061,4.7,96,174,SMALL,7,,,
24,3698,3950,7725,618.804190751445,4027,4.8,252,652,LARGE,7,,,
35,6734,6852,7918,618.804190751445,1184,4.3,118,203,LARGE,6,,,
42,8221,8360,8542,618.804190751445,321,7.0,139,34,TINY,10,,,
38,7674,7768,8597,618.804190751445,923,4.9,94,152,SMALL,7,,,
41,8072,8192,8777,618.804190751445,705,5.8,120,91,SMALL,8,,,
20,3061,3236,8864,618.804190751445,5803,5.2,175,902,LARGE,7,,,
37,7672,7747,8880,618.804190751445,1208,4.5,75,215,LARGE,6,,,
43,8281,8444,9069,618.804190751445,788,5.0,163,120,SMALL,7,,,
39,7752,7852,9147,618.804190751445,1395,4.8,100,234,LARGE,6,,,
45,8894,8986,9187,618.804190751445,293,3.7,92,58,SMALL,6,,,
40,8017,8108,9191,618.804190751445,1174,4.8,91,183,SMALL,7,,,
47,9133,9213,9232,618.804190751445,99,2.0,80,19,TINY,6,,,
46,9115,9192,9533,618.804190751445,418,2.3,77,106,SMALL,4,,,
50,10223,10290,10377,618.804190751445,154,3.0,67,23,TINY,7,,,
48,9231,9275,10587,618.804190751445,1356,2.1,44,420,LARGE,4,,,
44,8794,8881,10978,618.804190751445,2184,2.2,87,652,LARGE,4,,,
52,10913,10979,11048,618.804190751445,135,2.0,66,26,TINY,6,,,
51,10776,10819,11072,618.804190751445,296,2.0,43,82,SMALL,4,,,
49,9406,9485,11090,618.804190751445,1684,1.9,79,557,LARGE,4,,,
54,11206,11235,11375,618.804190751445,169,1.0,29,74,SMALL,3,,,
53,11192,11193,11412,618.804190751445,220,0.6,1,135,SMALL,2,,,
55,11588,11589,11783,618.804190751445,195,0.1,1,185,SMALL,2,,,
56,11757,11784,11981,618.804190751445,224,0.0,27,188,SMALL,2,,,
57,12023,12024,12343,618.804190751445,320,0.0,1,304,LARGE,2,,,
58,12437,12438,12454,618.804190751445,17,0.0,1,16,TINY,2,,,
59,12940,12941,12957,618.804190751445,17,0.0,1,16,TINY,2,,,
61,13099,13126,13137,618.804190751445,38,1.0,27,11,TINY,4,,,
60,12950,12958,13188,618.804190751445,238,0.1,8,208,LARGE,2,,,
63,13484,13514,13603,618.804190751445,119,1.0,30,45,TINY,3,,,
64,13763,13793,13969,618.804190751445,206,1.0,30,88,SMALL,3,,,
66,14067,14117,14346,618.804190751445,279,4.3,50,59,SMALL,5,,,
67,14075,14159,14404,618.804190751445,329,4.3,84,55,SMALL,6,,,
68,14089,14180,14593,618.804190751445,504,3.8,91,100,SMALL,6,,,
65,14024,14054,14702,618.804190751445,678,3.4,30,143,SMALL,5,,,
62,13387,13388,15012,618.804190751445,1625,1.2,1,735,LARGE,3,,,
69,14246,14368,15029,618.804190751445,783,2.9,122,176,SMALL,5,,,
70,14506,14594,15137,618.804190751445,631,2.3,88,162,SMALL,4,,,
71,14794,14871,15187,618.804190751445,393,1.6,77,127,SMALL,4,,,
72,15124,15159,15339,618.804190751445,215,0.1,35,164,SMALL,2,,,
73,15401,15402,15500,618.804190751445,99,0.0,1,94,SMALL,2,,,
74,15676,15677,16081,618.804190751445,405,0.1,1,385,LARGE,2,,,
75,16064,16082,16189,618.804190751445,125,0.0,18,102,SMALL,2,,,
76,16247,16248,16262,618.804190751445,15,0.0,1,14,TINY,2,,,
79,16570,16625,16721,618.804190751445,151,3.0,55,32,TINY,5,,,
80,16578,16646,17699,618.804190751445,1121,5.2,68,191,SMALL,6,,,
87,17366,17562,18045,618.804190751445,679,10.7,196,49,TINY,14,,,
82,16891,16995,18224,618.804190751445,1333,7.9,104,150,SMALL,9,,,
88,17399,17625,18545,618.804190751445,1146,10.2,226,85,SMALL,14,,,
83,17149,17268,19012,618.804190751445,1863,9.7,119,164,SMALL,12,,,
90,17972,18193,19091,618.804190751445,1119,10.0,221,95,SMALL,12,,,
85,17238,17394,19382,618.804190751445,2144,9.7,156,197,SMALL,11,,,
92,18752,18966,19397,618.804190751445,645,9.0,214,54,SMALL,12,,,
93,19052,19260,19480,618.804190751445,428,8.5,208,39,TINY,11,,,
86,17345,17520,19509,618.804190751445,2164,9.6,175,187,SMALL,12,,,
91,18186,18414,19811,618.804190751445,1625,8.9,228,147,SMALL,12,,,
96,19638,19812,20009,618.804190751445,371,8.0,174,28,TINY,14,,,
94,19441,19615,20369,618.804190751445,928,8.6,174,82,SMALL,12,,,
97,19717,19896,20449,618.804190751445,732,8.2,179,76,SMALL,10,,,
98,20110,20283,21255,618.804190751445,1145,8.7,173,107,SMALL,11,,,
99,20148,20346,21346,618.804190751445,1198,8.8,198,106,SMALL,12,,,
78,16557,16583,21458,618.804190751445,4901,7.3,26,586,LARGE,9,,,
100,20255,20450,21601,618.804190751445,1346,8.1,195,136,SMALL,10,,,
103,21688,21854,21866,618.804190751445,178,7.0,166,12,TINY,15,,,
77,16288,16289,21915,618.804190751445,5627,5.2,1,906,LARGE,7,,,
101,21084,21277,22051,618.804190751445,967,6.8,193,109,SMALL,9,,,
102,21093,21298,22530,618.804190751445,1437,6.6,205,176,SMALL,9,,,
105,21993,22136,23033,618.804190751445,1040,6.4,143,139,SMALL,8,,,
109,22994,23202,23413,618.804190751445,419,9.5,208,21,TINY,20,,,
104,21936,22052,23520,618.804190751445,1584,7.1,116,181,SMALL,9,,,
95,19533,19699,23684,618.804190751445,4151,7.7,166,476,LARGE,9,,,
106,22656,22783,23721,618.804190751445,1065,8.5,127,115,SMALL,10,,,
81,16744,16827,23881,618.804190751445,7137,7.8,83,812,LARGE,9,,,
108,22904,23076,24110,618.804190751445,1206,9.3,172,118,SMALL,11,,,
110,23098,23307,24136,618.804190751445,1038,9.4,209,84,SMALL,13,,,
113,23600,23806,24248,618.804190751445,648,10.0,206,46,TINY,15,,,
116,23890,24111,24304,618.804190751445,414,9.0,221,33,TINY,13,,,
84,17221,17352,24385,618.804190751445,7164,8.2,131,777,LARGE,10,,,
107,22701,22867,24637,618.804190751445,1936,8.7,166,200,SMALL,10,,,
114,23623,23848,24640,618.804190751445,1017,8.6,225,82,SMALL,13,,,
89,17493,17721,24691,618.804190751445,7198,8.1,228,768,LARGE,10,,,
112,23533,23722,24793,618.804190751445,1260,7.7,189,137,SMALL,10,,,
117,24206,24386,25353,618.804190751445,1147,5.8,180,153,SMALL,8,,,
122,25366,25501,25671,618.804190751445,305,8.0,135,22,TINY,14,,,
123,25489,25648,25843,618.804190751445,354,10.0,159,23,TINY,16,,,
124,25508,25672,25855,618.804190751445,347,9.0,164,31,TINY,12,,,
128,25829,26045,26498,618.804190751445,669,9.7,216,52,SMALL,13,,,
125,25590,25777,26864,618.804190751445,1274,9.7,187,108,SMALL,12,,,
132,27113,27348,27601,618.804190751445,488,11.0,235,21,TINY,24,,,
118,24208,24407,27945,618.804190751445,3737,8.3,199,387,LARGE,10,,,
134,27892,28135,28151,618.804190751445,259,13.0,243,16,TINY,17,,,
136,28074,28362,28375,618.804190751445,301,12.0,288,13,TINY,24,,,
126,25675,25856,28387,618.804190751445,2712,10.2,181,231,LARGE,12,,,
141,28871,29207,29580,618.804190751445,709,16.5,336,36,TINY,20,,,
142,28936,29291,29663,618.804190751445,727,16.0,355,39,TINY,19,,,
137,28517,28766,29765,618.804190751445,1248,15.0,249,77,SMALL,17,,,
140,28803,29102,29827,618.804190751445,1024,16.0,299,59,SMALL,18,,,
144,29656,29996,30375,618.804190751445,719,17.0,340,21,TINY,35,,,
121,25075,25214,30533,618.804190751445,5458,11.0,139,450,LARGE,13,,,
146,29899,30248,30608,618.804190751445,709,16.5,349,31,TINY,23,,,
