pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times,process sizes,turnaround times,throughput,average response time,average queue length
0,64,66,222,376,158,1.0,2,149,SMALL,2,0.6133228484247717,9856.566,25
1,282,284,451,376,169,1.0,2,160,SMALL,2,,,
2,761,763,783,0,22,1.0,2,20,TINY,2,,,
4,870,872,1014,205,144,2.7,2,130,SMALL,2,,,
3,828,830,1165,576,337,2.0,2,178,SMALL,2,,,
7,1212,1232,1295,48,83,3.3,20,59,SMALL,2,,,
6,1121,1166,1413,499,292,2.7,45,167,SMALL,2,,,
8,1258,1414,1627,467,369,2.1,156,195,SMALL,2,,,
9,1598,1628,1711,72,113,2.0,30,77,SMALL,2,,,
10,1786,1796,1912,138,126,2.0,10,106,SMALL,2,,,
11,2244,2249,2297,48,53,2.0,5,44,TINY,2,,,
12,2646,2655,2691,24,45,2.0,9,34,TINY,2,,,
5,905,1712,2844,4318,1939,1.0,807,885,LARGE,3,,,
15,2967,2972,3027,48,60,3.0,5,51,SMALL,2,,,
14,2960,3028,3103,72,143,2.0,68,69,SMALL,3,,,
13,2928,2930,3195,331,267,1.0,2,127,SMALL,3,,,
16,3402,3404,3475,69,73,1.0,2,68,SMALL,2,,,
17,3585,3587,3603,0,18,1.0,2,16,TINY,2,,,
18,3669,3671,3818,203,149,1.7,2,137,SMALL,2,,,
19,3699,3819,3999,431,300,1.6,120,168,SMALL,2,,,
22,4524,4537,4620,72,96,3.0,13,77,SMALL,2,,,
20,3883,4000,4933,4074,1050,1.7,117,784,LARGE,2,,,
23,5033,5039,5069,24,36,2.0,6,28,TINY,2,,,
25,5292,5304,5336,24,44,3.0,12,30,TINY,2,,,
24,5218,5238,5456,468,238,2.0,20,169,SMALL,2,,,
26,5519,5520,5702,435,183,2.0,1,166,SMALL,2,,,
29,6058,6074,6114,25,56,4.0,16,37,TINY,2,,,
21,4265,4934,6201,4386,1936,1.7,669,740,LARGE,3,,,
30,6241,6246,6326,72,85,3.0,5,74,SMALL,2,,,
28,5967,6202,6488,548,521,2.0,235,187,SMALL,3,,,
31,6672,6678,6688,0,16,2.0,6,10,TINY,2,,,
32,6761,6773,6812,24,51,2.0,12,37,TINY,2,,,
27,5761,6489,6974,1775,1213,1.0,728,414,LARGE,3,,,
33,7004,7006,7058,46,54,1.0,2,50,TINY,2,,,
34,7247,7249,7434,427,187,1.0,2,177,SMALL,2,,,
35,7485,7487,7623,199,138,1.0,2,130,SMALL,2,,,
36,7743,7745,7789,46,46,1.0,2,42,TINY,2,,,
37,7822,7824,7868,46,46,1.0,2,42,TINY,2,,,
38,7943,7945,7988,46,45,1.0,2,41,TINY,2,,,
39,7999,8001,8057,46,58,1.0,2,54,SMALL,2,,,
40,8358,8360,8544,427,186,1.1,2,176,SMALL,2,,,
41,8527,8545,8563,0,36,2.0,18,18,TINY,2,,,
44,8626,8629,8714,72,88,3.2,3,79,SMALL,2,,,
46,8974,8979,9149,390,175,4.9,5,149,SMALL,2,,,
48,9132,9150,9359,476,227,5.0,18,182,SMALL,2,,,
42,8534,8564,9597,2486,1063,3.3,30,507,LARGE,3,,,
49,9626,9642,9866,476,240,4.1,16,197,SMALL,2,,,
50,9833,9867,10023,211,190,4.3,34,138,SMALL,2,,,
51,9964,10024,10221,443,257,4.7,60,173,SMALL,2,,,
52,10075,10222,10678,1728,603,4.0,147,399,LARGE,2,,,
43,8567,9598,11212,3054,2645,3.5,1031,520,LARGE,6,,,
55,11391,11397,11593,443,202,5.0,6,172,SMALL,2,,,
45,8673,11213,12149,4064,3476,4.7,2540,643,LARGE,6,,,
57,12283,12288,12475,445,192,5.3,5,161,SMALL,2,,,
58,12421,12476,12644,390,223,5.0,55,147,SMALL,2,,,
59,12700,12714,12747,25,47,5.0,14,30,TINY,2,,,
60,12863,12886,12946,50,83,5.0,23,54,SMALL,2,,,
61,12988,12993,13111,143,123,5.0,5,103,SMALL,2,,,
62,13201,13204,13247,25,46,5.0,3,40,TINY,2,,,
53,11018,12150,13571,4557,2553,4.2,1132,701,LARGE,4,,,
64,13586,13595,13628,25,42,5.0,9,30,TINY,2,,,
63,13417,13572,13819,510,402,4.7,155,186,SMALL,3,,,
66,13810,13820,13885,50,75,5.7,10,59,SMALL,2,,,
69,13919,13934,14043,105,124,7.4,15,92,SMALL,2,,,
70,14001,14044,14087,26,86,7.0,43,39,TINY,3,,,
65,13676,13886,14223,551,547,6.0,210,155,SMALL,4,,,
71,14407,14408,14476,52,69,6.0,1,60,SMALL,2,,,
67,13848,14224,14624,1558,776,5.6,376,285,LARGE,3,,,
74,14688,14697,14902,451,214,7.0,9,173,SMALL,2,,,
73,14524,14625,15193,1731,669,6.0,101,302,LARGE,3,,,
75,15285,15286,15469,397,184,6.0,1,155,SMALL,2,,,
76,15621,15631,15644,0,23,6.0,10,13,TINY,2,,,
68,13849,15194,16096,3279,2247,5.0,1345,614,LARGE,4,,,
78,16407,16419,16448,26,41,7.0,12,25,TINY,2,,,
82,16554,16572,16588,0,34,9.0,18,16,TINY,3,,,
79,16412,16449,16666,475,254,8.4,37,161,SMALL,2,,,
83,16587,16667,16754,81,167,9.0,80,72,SMALL,3,,,
84,16635,16755,16992,494,357,8.8,120,192,SMALL,2,,,
86,17063,17068,17105,27,42,9.0,5,32,TINY,2,,,
80,16445,16993,17557,1984,1112,8.0,548,421,LARGE,3,,,
56,11602,16097,18085,5115,6483,6.4,4495,710,LARGE,10,,,
88,18467,18470,18661,404,194,8.0,3,156,SMALL,2,,,
89,18802,18806,18832,27,30,8.0,4,21,TINY,2,,,
87,17749,18086,18986,3041,1237,7.0,337,569,LARGE,3,,,
90,19340,19347,19462,106,122,7.6,7,97,SMALL,2,,,
92,19686,19703,19933,494,247,8.0,17,185,SMALL,2,,,
81,16496,18987,20210,4350,3714,6.6,2491,732,LARGE,6,,,
