instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times
0,0,18631,18619,18631,40.0,0
0,11,26859,26841,26848,32.2,11
0,17,23565,23542,23548,36.2,17
0,22,4527,4500,4505,47.3,22
0,26,4969,4939,4943,47.1,26
1,29,24891,24858,24862,35.0,28
1,32,27311,27275,27279,31.5,31
1,35,7297,7258,7262,45.7,34
2,38,25949,25907,25911,33.8,36
2,41,15897,15853,15856,42.3,39
2,43,16459,16413,16416,42.0,41
2,45,27151,27103,27106,32.0,43
3,47,9323,9273,9276,45.0,44
3,49,3235,3183,3186,48.2,46
3,51,26055,26001,26004,33.7,48
3,53,26569,26513,26516,33.0,50
4,55,27888,27829,27833,30.0,51
4,57,3915,3855,3858,48.3,53
5,59,27443,27380,27384,31.3,54
6,61,19459,19395,19398,40.2,55
7,63,27890,27824,27827,30.0,56
7,65,906,838,841,47.2,58
7,67,27868,27798,27801,30.1,60
7,69,27746,27674,27677,30.6,62
8,71,26761,26687,26690,32.8,63
9,73,26847,26771,26774,32.6,64
9,75,22487,22409,22412,37.6,66
11,77,14695,14615,14618,43.0,66
11,79,19411,19329,19332,40.3,68
11,81,12755,12671,12674,43.8,70
11,83,25753,25667,25670,34.1,72
12,85,27732,27644,27647,30.6,73
13,87,23817,23727,23730,36.3,74
13,89,27506,27413,27417,31.2,76
13,91,16835,16741,16744,41.9,78
13,93,4043,3947,3950,48.6,80
13,95,24241,24143,24146,35.8,82
14,97,22161,22061,22064,37.9,83
14,99,18359,18257,18260,41.0,85
15,101,14789,14685,14688,43.1,86
15,103,20583,20477,20480,39.4,88
16,105,14337,14229,14232,43.3,89
16,107,27697,27587,27590,30.7,91
16,109,11099,10987,10990,44.5,93
16,111,20417,20303,20306,39.6,95
17,113,20641,20525,20528,39.4,96
18,115,27145,27027,27030,32.1,97
18,117,21165,21045,21048,38.9,99
19,119,27885,27760,27766,30.0,100
20,121,3977,3853,3856,49.0,101
