instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times
0,0,337,319,337,16.0,0
0,338,793,440,455,44.9,338
0,794,1031,220,237,48.0,794
1,1032,1253,209,221,47.0,1031
1,1254,1734,462,480,46.0,1253
1,1735,1864,110,129,45.0,1734
2,1865,2312,429,447,44.0,1863
2,2313,2826,495,513,43.0,2311
2,2827,2852,11,25,42.0,2825
2,2853,3387,517,534,41.0,2851
3,3388,3442,33,54,40.0,3385
3,3443,3626,165,183,39.0,3440
4,3627,3849,209,222,38.0,3623
4,3850,3955,88,105,37.0,3846
4,3956,4491,517,535,36.0,3952
4,4492,4850,341,358,35.0,4488
5,4851,5026,154,175,34.0,4846
5,5027,5275,231,248,33.0,5022
5,5276,5630,341,354,32.0,5271
6,5631,5908,264,277,31.0,5625
6,5909,6125,198,216,30.0,5903
7,6126,6444,297,318,29.0,6119
7,6445,6927,462,482,28.0,6438
7,6928,7463,517,535,27.0,6921
7,7464,7866,385,402,26.0,7457
8,7867,8015,132,148,25.0,7859
8,8016,8174,143,158,24.0,8008
8,8175,8633,440,458,23.0,8167
9,8634,8709,55,75,22.0,8625
9,8710,8738,11,28,21.0,8701
9,8739,9266,506,527,20.0,8730
9,9267,9758,473,491,19.0,9258
11,9759,9907,132,148,18.0,9748
12,9908,10244,319,336,17.0,9896
12,10245,10545,286,300,16.0,10233
12,10546,10566,0,20,15.0,10534
13,10567,11087,506,520,14.0,10554
13,11088,11373,264,285,13.0,11075
13,11374,11620,231,246,12.0,11361
15,11621,11793,154,172,11.0,11606
15,11794,12051,242,257,10.0,11779
15,12052,12325,253,273,9.0,12037
16,12326,12806,462,480,8.0,12310
16,12807,13089,264,282,7.0,12791
17,13090,13559,451,469,6.0,13073
17,13560,13686,110,126,5.0,13543
17,13687,13963,264,276,4.0,13670
18,13964,14035,55,71,3.0,13946
19,14036,14064,11,28,2.0,14017
20,14065,14128,44,63,1.0,14045
