instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times
0,0,10635,10617,10635,5.0,0
0,22,13067,13030,13045,5.0,22
0,44,8531,8470,8487,5.0,44
1,66,8348,8270,8282,5.0,65
1,88,13545,13439,13457,5.0,87
1,110,4930,4801,4820,5.0,109
2,132,13218,13068,13086,5.0,130
2,154,13939,13767,13785,5.0,152
2,176,740,550,564,5.0,174
2,198,14086,13871,13888,5.0,196
3,220,1978,1737,1758,5.0,217
3,242,7535,7275,7293,5.0,239
4,264,9004,8727,8740,5.0,260
4,286,4613,4310,4327,5.0,282
4,308,14105,13779,13797,5.0,304
4,330,12150,11803,11820,5.0,326
5,352,7307,6934,6955,5.0,347
5,374,9759,9368,9385,5.0,369
5,396,12186,11777,11790,5.0,391
6,418,10715,10284,10297,5.0,412
6,440,8891,8433,8451,5.0,434
7,462,11443,10960,10981,5.0,455
7,484,13824,13320,13340,5.0,477
7,506,14128,13604,13622,5.0,499
7,528,12919,12374,12391,5.0,521
8,550,6779,6213,6229,5.0,542
8,572,7208,6621,6636,5.0,564
8,594,13619,13007,13025,5.0,586
9,616,3709,3073,3093,5.0,607
9,638,1725,1070,1087,5.0,629
9,660,14116,13435,13456,5.0,651
9,682,13958,13258,13276,5.0,673
11,704,6895,6175,6191,5.0,693
12,726,11978,11235,11252,5.0,714
12,741,11377,10622,10636,5.0,729
12,763,1311,528,548,5.0,751
13,785,14120,13321,13335,5.0,772
13,807,10967,10139,10160,5.0,794
13,829,10127,9283,9298,5.0,816
15,851,7807,6938,6956,5.0,836
15,873,10440,9552,9567,5.0,858
15,895,10725,9810,9830,5.0,880
16,917,13909,12974,12992,5.0,901
16,939,11008,10051,10069,5.0,923
17,961,13814,12835,12853,5.0,944
17,983,6278,5279,5295,5.0,966
17,1005,11032,10015,10027,5.0,988
18,1027,4078,3035,3051,5.0,1009
19,1049,2117,1051,1068,5.0,1030
20,1071,3622,2532,2551,5.0,1051
