instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times
1,1,20090,20077,20089,39.4,0
3,12,20442,20423,20430,39.4,9
3,18,24148,24124,24130,34.4,15
3,23,25518,25490,25495,32.3,20
3,27,15260,15229,15233,44.4,24
3,30,18664,18630,18634,41.8,27
5,33,11928,11891,11895,46.3,28
5,36,12258,12218,12222,46.1,31
6,39,4714,4671,4675,48.5,33
7,42,24082,24037,24040,34.8,35
7,44,16324,16277,16280,43.7,37
7,46,23254,23205,23208,36.0,39
7,48,4240,4189,4192,48.7,41
7,50,17780,17727,17730,42.6,43
7,52,22350,22295,22298,37.2,45
8,54,19114,19057,19060,41.4,46
8,56,26606,26546,26550,30.1,48
8,58,26872,26810,26814,29.1,50
9,60,9392,9329,9332,47.6,51
9,62,14000,13935,13938,45.2,53
9,64,26916,26846,26852,29.0,55
10,66,18850,18781,18784,41.7,56
10,68,26921,26847,26853,29.0,58
10,70,26926,26850,26856,29.0,60
10,72,15576,15501,15504,44.3,62
11,74,18624,18547,18550,42.0,63
11,76,26280,26201,26204,30.9,65
11,78,21984,21903,21906,37.8,67
11,80,18690,18607,18610,41.9,69
12,82,18382,18297,18300,42.2,70
12,84,10032,9945,9948,47.5,72
13,86,16218,16129,16132,43.9,73
13,88,25892,25801,25804,31.8,75
14,90,9330,9237,9240,47.8,76
14,92,12542,12447,12450,46.2,78
14,94,26656,26559,26562,30.0,80
14,96,26411,26311,26315,30.6,82
15,98,25194,25093,25096,33.1,83
15,100,26387,26284,26287,30.7,85
15,102,14718,14613,14616,44.9,87
15,104,20428,20321,20324,39.9,89
16,106,20938,20829,20832,39.2,90
17,108,2240,2129,2132,49.7,91
17,110,25288,25175,25178,33.0,93
18,112,26186,26071,26074,31.1,94
18,114,25488,25371,25374,32.6,96
18,116,22940,22821,22824,36.5,98
19,118,10148,10027,10030,47.6,99
20,120,26884,26760,26764,29.2,100
20,122,7518,7393,7396,48.4,102
