instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times
1,1,275,253,274,13.0,0
3,276,558,264,282,37.5,273
3,559,941,363,382,48.0,556
3,942,1373,418,431,47.0,939
3,1374,1563,176,189,46.0,1371
3,1564,1809,231,245,45.0,1561
5,1810,1951,121,141,44.0,1805
5,1952,2098,132,146,43.0,1947
6,2099,2152,33,53,42.0,2093
7,2153,2533,363,380,41.0,2146
7,2534,2739,187,205,40.0,2527
7,2740,3095,341,355,39.0,2733
7,3096,3144,33,48,38.0,3089
7,3145,3374,209,229,37.0,3138
7,3375,3704,308,329,36.0,3368
8,3705,3959,242,254,35.0,3697
8,3960,4459,484,499,34.0,3952
8,4460,4996,517,536,33.0,4452
9,4997,5105,88,108,32.0,4988
9,5106,5276,154,170,31.0,5097
9,5277,5825,528,548,30.0,5268
10,5826,6074,231,248,29.0,5816
10,6075,6623,528,548,28.0,6065
10,6624,7172,528,548,27.0,6614
10,7173,7366,176,193,26.0,7163
11,7367,7611,231,244,25.0,7356
11,7612,8079,451,467,24.0,7601
11,8080,8400,308,320,23.0,8069
11,8401,8646,231,245,22.0,8390
12,8647,8886,220,239,21.0,8635
12,8887,9003,99,116,20.0,8875
13,9004,9207,187,203,19.0,8991
13,9208,9655,429,447,18.0,9195
14,9656,9763,88,107,17.0,9642
14,9764,9913,132,149,16.0,9750
14,9914,10417,484,503,15.0,9900
14,10418,10896,462,478,14.0,10404
15,10897,11314,396,417,13.0,10882
15,11315,11790,462,475,12.0,11300
15,11791,11971,165,180,11.0,11776
15,11972,12253,264,281,10.0,11957
16,12254,12547,275,293,9.0,12238
17,12548,12573,11,25,8.0,12531
17,12574,12995,407,421,7.0,12557
18,12996,13457,440,461,6.0,12978
18,13458,13886,407,428,5.0,13440
18,13887,14232,330,345,4.0,13869
19,14233,14350,99,117,3.0,14214
20,14351,14888,517,537,2.0,14331
20,14889,14974,66,85,1.0,14869
