instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times
0,0,13821,13803,13821,5.0,0
0,22,11440,11401,11418,5.0,22
0,44,14395,14334,14351,5.0,44
1,66,606,528,540,5.0,65
3,88,1818,1717,1730,5.0,85
3,110,483,352,373,5.0,107
3,132,11735,11584,11603,5.0,129
3,154,13670,13498,13516,5.0,151
4,176,2258,2069,2082,5.0,172
4,198,6155,5940,5957,5.0,194
4,220,1925,1687,1705,5.0,216
4,242,14507,14253,14265,5.0,238
5,264,1602,1319,1338,5.0,259
5,286,10282,9983,9996,5.0,281
5,308,7964,7644,7656,5.0,303
6,330,12518,12170,12188,5.0,324
6,352,10344,9975,9992,5.0,346
6,374,1804,1416,1430,5.0,368
7,396,13005,12592,12609,5.0,389
7,418,5763,5324,5345,5.0,411
7,440,14029,13568,13589,5.0,433
9,462,8486,8012,8024,5.0,453
9,484,12888,12387,12404,5.0,475
10,506,14366,13844,13860,5.0,496
10,528,4685,4136,4157,5.0,518
10,550,13651,13084,13101,5.0,540
11,572,13952,13360,13380,5.0,561
11,594,12257,11648,11663,5.0,583
12,607,7588,6965,6981,5.0,595
12,629,6834,6187,6205,5.0,617
13,651,7983,7314,7332,5.0,638
13,673,3530,2845,2857,5.0,660
14,695,14192,13478,13497,5.0,681
14,717,14483,13747,13766,5.0,703
14,739,2263,1509,1524,5.0,725
14,761,14560,13780,13799,5.0,747
14,783,1319,517,536,5.0,769
15,805,14316,13491,13511,5.0,790
16,827,13567,12721,12740,5.0,811
16,849,1384,515,535,5.0,833
16,871,14240,13355,13369,5.0,855
16,893,11334,10427,10441,5.0,877
16,915,13066,12135,12151,5.0,899
18,937,14452,13503,13515,5.0,919
18,948,14551,13582,13603,5.0,930
18,970,12444,11453,11474,5.0,952
19,992,11693,10680,10701,5.0,973
19,1014,13118,12086,12104,5.0,995
19,1036,10560,9507,9524,5.0,1017
20,1058,8264,7190,7206,5.0,1038
