instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times
0,0,4995,4983,4995,46.4,0
0,11,24179,24160,24168,27.3,11
0,17,4167,4144,4150,47.5,17
1,22,23214,23186,23192,30.5,21
2,26,19463,19433,19437,37.5,24
2,29,20079,20046,20050,36.4,27
3,32,24200,24164,24168,27.5,29
3,35,15253,15214,15218,42.6,32
3,38,18851,18809,18813,38.4,35
3,41,22993,22949,22952,31.3,38
3,43,19513,19467,19470,37.5,40
5,45,12329,12281,12284,44.4,40
5,47,4187,4137,4140,48.0,42
6,49,15453,15401,15404,42.5,43
7,51,13777,13723,13726,43.7,44
8,53,7811,7755,7758,46.7,45
8,55,21639,21581,21584,33.8,47
8,57,9955,9895,9898,45.8,49
9,59,22853,22791,22794,31.6,50
10,61,22663,22599,22602,32.0,51
11,63,2473,2407,2410,48.4,52
11,65,17507,17439,17442,40.2,54
11,67,19479,19409,19412,37.6,56
11,69,23822,23750,23753,29.0,58
11,71,14597,14523,14526,43.2,60
12,73,24184,24108,24111,27.7,61
13,75,1319,1241,1244,48.4,62
14,77,21551,21471,21474,34.0,63
15,79,18593,18511,18514,38.9,64
15,81,23466,23381,23385,30.2,66
15,83,8883,8797,8800,46.4,68
15,85,15083,14995,14998,42.9,70
16,87,14537,14447,14450,43.3,71
16,89,24204,24110,24115,27.6,73
17,91,8373,8279,8282,46.7,74
17,93,20569,20473,20476,35.7,76
17,95,15913,15815,15818,42.1,78
17,97,22935,22835,22838,31.5,80
17,99,18307,18205,18208,39.3,82
17,101,22759,22655,22658,31.8,84
17,103,10811,10705,10708,45.5,86
18,105,24176,24067,24071,27.8,87
19,107,18413,18303,18306,39.2,88
19,109,16225,16113,16116,41.8,90
19,111,23025,22911,22914,31.2,92
19,113,16287,16171,16174,41.8,94
19,115,23580,23461,23465,29.9,96
19,117,16403,16283,16286,41.6,98
19,119,14275,14153,14156,43.6,100
20,121,10667,10543,10546,45.7,101
