instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times
0,0,237,220,237,11.5,0
0,238,330,77,92,26.0,238
0,331,666,319,335,42.5,331
0,667,1070,385,403,47.0,667
1,1071,1400,308,329,46.0,1070
1,1401,1584,165,183,45.0,1400
1,1585,1760,154,175,44.0,1584
1,1761,1806,33,45,43.0,1760
2,1807,2286,462,479,42.0,1805
2,2287,2316,11,29,41.0,2285
2,2317,2411,77,94,40.0,2315
2,2412,2948,517,536,39.0,2410
3,2949,3396,429,447,38.0,2946
3,3397,3477,66,80,37.0,3394
3,3478,3756,264,278,36.0,3475
4,3757,4125,352,368,35.0,3753
5,4126,4244,99,118,34.0,4121
5,4245,4618,352,373,33.0,4240
5,4619,4635,0,16,32.0,4614
5,4636,4740,88,104,31.0,4631
5,4741,4937,176,196,30.0,4736
6,4938,5357,407,419,29.0,4932
7,5358,5706,330,348,28.0,5351
7,5707,6247,528,540,27.0,5700
8,6248,6351,88,103,26.0,6240
8,6352,6531,165,179,25.0,6344
9,6532,6602,55,70,24.0,6523
9,6603,6849,231,246,23.0,6594
9,6850,7394,528,544,22.0,6841
9,7395,7668,253,273,21.0,7386
10,7669,8018,330,349,20.0,7659
12,8019,8311,275,292,19.0,8007
12,8312,8795,462,483,18.0,8300
13,8796,9039,231,243,17.0,8783
14,9040,9510,451,470,16.0,9026
14,9511,9623,99,112,15.0,9497
15,9624,10139,495,515,14.0,9609
15,10140,10158,0,18,13.0,10125
15,10159,10226,55,67,12.0,10144
16,10227,10246,0,19,11.0,10211
17,10247,10399,132,152,10.0,10230
18,10400,10920,506,520,9.0,10382
19,10921,11322,385,401,8.0,10902
19,11323,11362,22,39,7.0,11304
19,11363,11676,297,313,6.0,11344
20,11677,11722,33,45,5.0,11657
20,11723,12235,495,512,4.0,11703
20,12236,12666,418,430,3.0,12216
20,12667,12956,275,289,2.0,12647
20,12957,13130,154,173,1.0,12937
