instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times
0,0,7119,7102,7119,5.0,0
0,22,2552,2515,2530,5.0,22
0,44,10344,10284,10300,5.0,44
0,66,11628,11544,11562,5.0,66
1,88,10327,10218,10239,5.0,87
1,110,6573,6445,6463,5.0,109
1,132,6324,6171,6192,5.0,131
1,154,1715,1549,1561,5.0,153
2,176,12665,12472,12489,5.0,174
2,198,827,611,629,5.0,196
2,220,3815,3578,3595,5.0,218
2,242,13067,12806,12825,5.0,240
3,264,12436,12154,12172,5.0,261
3,286,3553,3253,3267,5.0,283
3,308,9727,9405,9419,5.0,305
4,330,11477,11131,11147,5.0,326
5,352,4924,4553,4572,5.0,347
5,374,11521,11126,11147,5.0,369
5,396,808,396,412,5.0,391
5,418,4602,4168,4184,5.0,413
5,440,7538,7078,7098,5.0,435
6,462,12263,11789,11801,5.0,456
7,484,11209,10707,10725,5.0,477
7,506,13124,12606,12618,5.0,499
8,528,4761,4218,4233,5.0,520
8,550,7352,6788,6802,5.0,542
9,572,3549,2962,2977,5.0,563
9,594,9149,8540,8555,5.0,585
9,616,13130,12498,12514,5.0,607
9,638,9737,9079,9099,5.0,629
10,660,11295,10616,10635,5.0,650
12,682,10272,9573,9590,5.0,670
12,704,12839,12114,12135,5.0,692
13,726,9239,8501,8513,5.0,713
14,748,12762,11995,12014,5.0,734
14,770,5356,4573,4586,5.0,756
15,792,13047,12235,12255,5.0,777
15,809,1352,525,543,5.0,794
15,828,3753,2913,2925,5.0,813
16,850,1383,514,533,5.0,834
17,872,6521,5629,5649,5.0,855
18,894,13100,12192,12206,5.0,876
19,916,12129,11197,11213,5.0,897
19,938,2459,1504,1521,5.0,919
19,960,10805,9829,9845,5.0,941
20,982,2972,1978,1990,5.0,962
20,1004,13074,12053,12070,5.0,984
20,1026,12537,11499,11511,5.0,1006
20,1048,10447,9385,9399,5.0,1028
20,1070,7337,6248,6267,5.0,1050
